ArticleID,Journal,Volume,Issue,FirstPage,PubDate,CiteCount,LastPage,Year
48,ECA,65,5,1129,1997-09-01,121.0,1151,1997
49,ECA,65,5,1153,1997-09-01,10.0,1173,1997
50,ECA,65,5,1175,1997-09-01,25.0,1199,1997
51,ECA,65,4,745,1997-07-01,224.0,779,1997
52,ECA,65,4,781,1997-07-01,225.0,831,1997
53,ECA,65,4,833,1997-07-01,380.0,860,1997
54,ECA,65,4,861,1997-07-01,193.0,874,1997
55,ECA,65,4,875,1997-07-01,114.0,911,1997
56,ECA,65,4,913,1997-07-01,11.0,931,1997
57,ECA,65,4,933,1997-07-01,51.0,963,1997
58,ECA,65,3,487,1997-05-01,133.0,516,1997
59,ECA,65,3,517,1997-05-01,78.0,555,1997
60,ECA,65,3,557,1997-05-01,2288.0,586,1997
61,ECA,65,3,587,1997-05-01,73.0,599,1997
62,ECA,65,3,601,1997-05-01,56.0,625,1997
63,ECA,65,3,627,1997-05-01,25.0,646,1997
64,ECA,65,3,647,1997-05-01,53.0,670,1997
65,ECA,65,2,225,1997-03-01,10.0,273,1997
66,ECA,65,2,275,1997-03-01,44.0,309,1997
67,ECA,65,2,311,1997-03-01,33.0,345,1997
68,ECA,65,2,347,1997-03-01,17.0,367,1997
69,ECA,65,1,1,1997-01-01,7.0,18,1997
70,ECA,65,1,19,1997-01-01,143.0,57,1997
71,ECA,65,1,59,1997-01-01,36.0,73,1997
72,ECA,65,1,75,1997-01-01,143.0,102,1997
73,ECA,65,1,103,1997-01-01,25.0,131,1997
74,ECA,65,1,133,1997-01-01,25.0,161,1997
75,ECA,64,6,1249,1996-11-01,70.0,1262,1996
76,ECA,64,6,1263,1996-11-01,687.0,1297,1996
77,ECA,64,6,1299,1996-11-01,144.0,1310,1996
78,ECA,64,6,1311,1996-11-01,78.0,1341,1996
79,ECA,64,6,1343,1996-11-01,41.0,1373,1996
80,ECA,64,6,1375,1996-11-01,14.0,1393,1996
81,ECA,64,6,1395,1996-11-01,26.0,1414,1996
82,ECA,64,6,1415,1996-11-01,9.0,1437,1996
83,ECA,64,6,1439,1996-11-01,69.0,1467,1996
84,ECA,64,5,1001,1996-09-01,783.0,1044,1996
85,ECA,64,5,1045,1996-09-01,133.0,1065,1996
86,ECA,64,5,1067,1996-09-01,438.0,1084,1996
87,ECA,64,5,1085,1996-09-01,45.0,1107,1996
88,ECA,64,5,1109,1996-09-01,221.0,1123,1996
89,ECA,64,5,1125,1996-09-01,67.0,1149,1996
90,ECA,64,5,1151,1996-09-01,57.0,1181,1996
91,ECA,64,5,1183,1996-09-01,121.0,1193,1996
92,ECA,64,5,1195,1996-09-01,36.0,1212,1996
93,ECA,64,4,763,1996-07-01,95.0,812,1996
94,ECA,64,4,813,1996-07-01,1846.0,836,1996
95,ECA,64,4,837,1996-07-01,87.0,864,1996
96,ECA,64,4,865,1996-07-01,161.0,890,1996
97,ECA,64,4,891,1996-07-01,189.0,916,1996
98,ECA,64,4,917,1996-07-01,10.0,942,1996
99,ECA,64,4,943,1996-07-01,110.0,956,1996
100,ECA,64,4,957,1996-07-01,190.0,979,1996
101,ECA,64,3,527,1996-05-01,220.0,560,1996
102,ECA,64,3,561,1996-05-01,8.0,573,1996
103,ECA,64,3,575,1996-05-01,177.0,596,1996
104,ECA,64,3,597,1996-05-01,36.0,622,1996
105,ECA,64,3,623,1996-05-01,96.0,646,1996
106,ECA,64,3,647,1996-05-01,61.0,682,1996
107,ECA,64,2,261,1996-03-01,114.0,294,1996
108,ECA,64,2,295,1996-03-01,97.0,332,1996
109,ECA,64,2,333,1996-03-01,29.0,341,1996
110,ECA,64,2,343,1996-03-01,25.0,355,1996
111,ECA,64,2,357,1996-03-01,125.0,380,1996
112,ECA,64,2,381,1996-03-01,65.0,412,1996
113,ECA,64,2,413,1996-03-01,695.0,430,1996
114,ECA,64,1,1,1996-01-01,30.0,27,1996
115,ECA,64,1,29,1996-01-01,7.0,49,1996
116,ECA,64,1,51,1996-01-01,170.0,75,1996
117,ECA,64,1,77,1996-01-01,51.0,101,1996
118,ECA,64,1,103,1996-01-01,88.0,137,1996
119,ECA,64,1,139,1996-01-01,88.0,174,1996
120,ECA,64,1,175,1996-01-01,104.0,205,1996
121,ECA,63,6,1255,1995-11-01,177.0,1280,1995
122,ECA,63,6,1281,1995-11-01,50.0,1301,1995
123,ECA,63,6,1303,1995-11-01,41.0,1320,1995
124,ECA,63,6,1321,1995-11-01,35.0,1335,1995
125,ECA,63,6,1337,1995-11-01,20.0,1369,1995
126,ECA,63,6,1371,1995-11-01,61.0,1399,1995
127,ECA,63,6,1401,1995-11-01,18.0,1419,1995
128,ECA,63,6,1421,1995-11-01,28.0,1443,1995
129,ECA,63,6,1445,1995-11-01,85.0,1476,1995
130,ECA,63,5,1023,1995-09-01,152.0,1078,1995
131,ECA,63,5,1079,1995-09-01,63.0,1112,1995
132,ECA,63,5,1113,1995-09-01,40.0,1132,1995
133,ECA,63,5,1133,1995-09-01,88.0,1159,1995
134,ECA,63,5,1161,1995-09-01,258.0,1180,1995
135,ECA,63,5,1181,1995-09-01,54.0,1193,1995
136,ECA,63,5,1195,1995-09-01,27.0,1224,1995
137,ECA,63,4,755,1995-07-01,4.0,765,1995
138,ECA,63,4,767,1995-07-01,155.0,804,1995
139,ECA,63,4,805,1995-07-01,69.0,840,1995
140,ECA,63,4,841,1995-07-01,1086.0,890,1995
141,ECA,63,4,891,1995-07-01,238.0,951,1995
142,ECA,63,4,953,1995-07-01,131.0,980,1995
143,ECA,63,4,981,1995-07-01,55.0,1001,1995
144,ECA,63,3,507,1995-05-01,38.0,544,1995
145,ECA,63,3,545,1995-05-01,54.0,565,1995
146,ECA,63,3,567,1995-05-01,21.0,589,1995
147,ECA,63,3,591,1995-05-01,47.0,620,1995
148,ECA,63,3,621,1995-05-01,48.0,646,1995
149,ECA,63,3,647,1995-05-01,3.0,666,1995
150,ECA,63,3,667,1995-05-01,14.0,680,1995
151,ECA,63,3,681,1995-05-01,143.0,717,1995
152,ECA,63,2,265,1995-03-01,66.0,279,1995
153,ECA,63,2,281,1995-03-01,92.0,302,1995
154,ECA,63,2,303,1995-03-01,77.0,326,1995
155,ECA,63,2,327,1995-03-01,93.0,370,1995
156,ECA,63,2,371,1995-03-01,94.0,399,1995
157,ECA,63,2,401,1995-03-01,10.0,423,1995
158,ECA,63,1,1,1995-01-01,69.0,27,1995
159,ECA,63,1,29,1995-01-01,107.0,50,1995
160,ECA,63,1,51,1995-01-01,84.0,87,1995
161,ECA,63,1,89,1995-01-01,63.0,102,1995
162,ECA,63,1,103,1995-01-01,125.0,143,1995
163,ECA,63,1,145,1995-01-01,86.0,157,1995
164,ECA,63,1,159,1995-01-01,26.0,189,1995
165,ECA,62,6,1251,1994-11-01,312.0,1289,1994
166,ECA,62,6,1291,1994-11-01,316.0,1326,1994
167,ECA,62,6,1327,1994-11-01,85.0,1347,1994
168,ECA,62,6,1349,1994-11-01,160.0,1382,1994
169,ECA,62,6,1383,1994-11-01,752.0,1414,1994
170,ECA,62,6,1415,1994-11-01,45.0,1444,1994
171,ECA,62,5,997,1994-09-01,296.0,1039,1994
172,ECA,62,5,1041,1994-09-01,87.0,1063,1994
173,ECA,62,5,1065,1994-09-01,148.0,1085,1994
174,ECA,62,5,1087,1994-09-01,26.0,1114,1994
175,ECA,62,5,1115,1994-09-01,89.0,1140,1994
176,ECA,62,5,1141,1994-09-01,26.0,1160,1994
177,ECA,62,5,1161,1994-09-01,12.0,1178,1994
178,ECA,62,5,1179,1994-09-01,46.0,1205,1994
179,ECA,62,5,1207,1994-09-01,18.0,1232,1994
180,ECA,62,4,745,1994-07-01,108.0,781,1994
181,ECA,62,4,783,1994-07-01,24.0,794,1994
182,ECA,62,4,795,1994-07-01,87.0,817,1994
183,ECA,62,4,819,1994-07-01,402.0,851,1994
184,ECA,62,4,853,1994-07-01,59.0,880,1994
185,ECA,62,4,881,1994-07-01,54.0,900,1994
186,ECA,62,4,901,1994-07-01,259.0,933,1994
187,ECA,62,3,507,1994-05-01,74.0,537,1994
188,ECA,62,3,539,1994-05-01,569.0,591,1994
189,ECA,62,3,593,1994-05-01,28.0,633,1994
190,ECA,62,3,635,1994-05-01,36.0,656,1994
191,ECA,62,3,657,1994-05-01,151.0,681,1994
192,ECA,62,2,257,1994-03-01,218.0,282,1994
193,ECA,62,2,283,1994-03-01,240.0,322,1994
194,ECA,62,2,323,1994-03-01,109.0,342,1994
195,ECA,62,2,343,1994-03-01,23.0,371,1994
196,ECA,62,2,373,1994-03-01,6.0,403,1994
197,ECA,62,2,405,1994-03-01,387.0,458,1994
198,ECA,62,1,1,1994-01-01,62.0,41,1994
199,ECA,62,1,43,1994-01-01,93.0,72,1994
200,ECA,62,1,73,1994-01-01,58.0,93,1994
201,ECA,62,1,95,1994-01-01,208.0,116,1994
202,ECA,62,1,117,1994-01-01,62.0,156,1994
203,ECA,62,1,157,1994-01-01,470.0,180,1994
204,ECA,61,6,1247,1993-11-01,332.0,1280,1993
205,ECA,61,6,1281,1993-11-01,126.0,1312,1993
206,ECA,61,6,1313,1993-11-01,41.0,1339,1993
207,ECA,61,6,1341,1993-11-01,11.0,1354,1993
208,ECA,61,6,1355,1993-11-01,31.0,1365,1993
209,ECA,61,6,1367,1993-11-01,301.0,1393,1993
210,ECA,61,6,1395,1993-11-01,15.0,1422,1993
211,ECA,61,5,989,1993-09-01,404.0,1018,1993
212,ECA,61,5,1019,1993-09-01,254.0,1045,1993
213,ECA,61,5,1047,1993-09-01,408.0,1071,1993
214,ECA,61,5,1073,1993-09-01,61.0,1107,1993
215,ECA,61,5,1109,1993-09-01,221.0,1146,1993
216,ECA,61,5,1147,1993-09-01,6.0,1172,1993
217,ECA,61,5,1173,1993-09-01,66.0,1197,1993
218,ECA,61,5,1199,1993-09-01,55.0,1223,1993
219,ECA,61,4,745,1993-07-01,24.0,782,1993
220,ECA,61,4,783,1993-07-01,1071.0,820,1993
221,ECA,61,4,821,1993-07-01,1299.0,856,1993
222,ECA,61,4,857,1993-07-01,22.0,870,1993
223,ECA,61,4,871,1993-07-01,153.0,907,1993
224,ECA,61,4,909,1993-07-01,222.0,927,1993
225,ECA,61,4,929,1993-07-01,256.0,952,1993
226,ECA,61,3,495,1993-05-01,234.0,521,1993
227,ECA,61,3,523,1993-05-01,163.0,545,1993
228,ECA,61,3,547,1993-05-01,79.0,573,1993
229,ECA,61,3,575,1993-05-01,15.0,587,1993
230,ECA,61,3,589,1993-05-01,241.0,611,1993
231,ECA,61,3,613,1993-05-01,0.0,627,1993
232,ECA,61,3,629,1993-05-01,162.0,656,1993
233,ECA,61,3,657,1993-05-01,79.0,686,1993
234,ECA,61,2,251,1993-03-01,509.0,272,1993
235,ECA,61,2,273,1993-03-01,25.0,302,1993
236,ECA,61,2,303,1993-03-01,30.0,323,1993
237,ECA,61,2,325,1993-03-01,47.0,351,1993
238,ECA,61,2,353,1993-03-01,98.0,385,1993
239,ECA,61,2,387,1993-03-01,290.0,421,1993
240,ECA,61,1,1,1993-01-01,24.0,28,1993
241,ECA,61,1,29,1993-01-01,860.0,56,1993
242,ECA,61,1,57,1993-01-01,675.0,84,1993
243,ECA,61,1,85,1993-01-01,35.0,121,1993
244,ECA,61,1,123,1993-01-01,116.0,137,1993
245,ECA,61,1,139,1993-01-01,180.0,165,1993
246,ECA,61,1,167,1993-01-01,85.0,186,1993
247,ECA,60,6,1233,1992-11-01,45.0,1254,1992
248,ECA,60,6,1255,1992-11-01,117.0,1272,1992
249,ECA,60,6,1273,1992-11-01,33.0,1292,1992
250,ECA,60,6,1293,1992-11-01,9.0,1330,1992
251,ECA,60,6,1331,1992-11-01,36.0,1349,1992
252,ECA,60,6,1351,1992-11-01,71.0,1386,1992
253,ECA,60,6,1387,1992-11-01,101.0,1406,1992
254,ECA,60,6,1407,1992-11-01,66.0,1433,1992
255,ECA,60,5,993,1992-09-01,84.0,1008,1992
256,ECA,60,5,1009,1992-09-01,135.0,1037,1992
257,ECA,60,5,1039,1992-09-01,19.0,1070,1992
258,ECA,60,5,1071,1992-09-01,47.0,1096,1992
259,ECA,60,5,1097,1992-09-01,32.0,1126,1992
260,ECA,60,5,1127,1992-09-01,616.0,1150,1992
261,ECA,60,5,1151,1992-09-01,35.0,1169,1992
262,ECA,60,5,1171,1992-09-01,68.0,1186,1992
263,ECA,60,5,1187,1992-09-01,69.0,1214,1992
264,ECA,60,5,1215,1992-09-01,25.0,1226,1992
265,ECA,60,4,745,1992-07-01,203.0,780,1992
266,ECA,60,4,781,1992-07-01,35.0,801,1992
267,ECA,60,4,803,1992-07-01,284.0,836,1992
268,ECA,60,4,837,1992-07-01,93.0,857,1992
269,ECA,60,4,859,1992-07-01,8.0,876,1992
270,ECA,60,4,877,1992-07-01,20.0,888,1992
271,ECA,60,4,889,1992-07-01,224.0,917,1992
272,ECA,60,4,919,1992-07-01,4.0,942,1992
273,ECA,60,4,973,1992-07-01,34.0,980,1992
274,ECA,60,3,505,1992-05-01,194.0,531,1992
275,ECA,60,3,533,1992-05-01,233.0,565,1992
276,ECA,60,3,567,1992-05-01,96.0,596,1992
277,ECA,60,3,597,1992-05-01,13.0,625,1992
278,ECA,60,3,627,1992-05-01,42.0,649,1992
279,ECA,60,3,651,1992-05-01,152.0,666,1992
280,ECA,60,3,667,1992-05-01,51.0,695,1992
281,ECA,60,2,239,1992-03-01,84.0,270,1992
282,ECA,60,2,271,1992-03-01,171.0,285,1992
283,ECA,60,2,287,1992-03-01,179.0,322,1992
284,ECA,60,2,323,1992-03-01,1826.0,351,1992
285,ECA,60,2,353,1992-03-01,338.0,394,1992
286,ECA,60,2,395,1992-03-01,124.0,421,1992
287,ECA,60,1,1,1992-01-01,164.0,42,1992
288,ECA,60,1,43,1992-01-01,45.0,56,1992
289,ECA,60,1,57,1992-01-01,78.0,76,1992
290,ECA,60,1,77,1992-01-01,837.0,105,1992
291,ECA,60,1,107,1992-01-01,74.0,118,1992
292,ECA,60,1,119,1992-01-01,226.0,143,1992
293,ECA,60,1,145,1992-01-01,24.0,157,1992
294,ECA,60,1,159,1992-01-01,9.0,171,1992
295,ECA,59,6,1525,1991-11-01,38.0,1549,1991
296,ECA,59,6,1551,1991-11-01,2741.0,1580,1991
297,ECA,59,6,1581,1991-11-01,4.0,1589,1991
298,ECA,59,6,1591,1991-11-01,125.0,1599,1991
299,ECA,59,6,1601,1991-11-01,34.0,1615,1991
300,ECA,59,6,1617,1991-11-01,32.0,1631,1991
301,ECA,59,6,1633,1991-11-01,70.0,1657,1991
302,ECA,59,6,1659,1991-11-01,79.0,1686,1991
303,ECA,59,6,1687,1991-11-01,10.0,1711,1991
304,ECA,59,6,1713,1991-11-01,106.0,1733,1991
305,ECA,59,6,1735,1991-11-01,94.0,1753,1991
306,ECA,59,6,1755,1991-11-01,66.0,1767,1991
307,ECA,59,5,1221,1991-09-01,504.0,1248,1991
308,ECA,59,5,1249,1991-09-01,13.0,1277,1991
309,ECA,59,5,1279,1991-09-01,699.0,1313,1991
310,ECA,59,5,1315,1991-09-01,31.0,1327,1991
311,ECA,59,5,1329,1991-09-01,69.0,1363,1991
312,ECA,59,5,1365,1991-09-01,47.0,1382,1991
313,ECA,59,5,1383,1991-09-01,22.0,1393,1991
314,ECA,59,5,1395,1991-09-01,31.0,1424,1991
315,ECA,59,5,1425,1991-09-01,95.0,1454,1991
316,ECA,59,5,1455,1991-09-01,70.0,1485,1991
317,ECA,59,4,909,1991-07-01,158.0,924,1991
318,ECA,59,4,925,1991-07-01,220.0,951,1991
319,ECA,59,4,953,1991-07-01,201.0,965,1991
320,ECA,59,4,967,1991-07-01,67.0,980,1991
321,ECA,59,4,981,1991-07-01,64.0,995,1991
322,ECA,59,4,997,1991-07-01,74.0,1021,1991
323,ECA,59,4,1023,1991-07-01,98.0,1039,1991
324,ECA,59,4,1041,1991-07-01,50.0,1068,1991
325,ECA,59,4,1069,1991-07-01,110.0,1089,1991
326,ECA,59,4,1091,1991-07-01,70.0,1104,1991
327,ECA,59,4,1105,1991-07-01,52.0,1125,1991
328,ECA,59,4,1127,1991-07-01,22.0,1152,1991
329,ECA,59,3,595,1991-05-01,144.0,609,1991
330,ECA,59,3,611,1991-05-01,162.0,636,1991
331,ECA,59,3,637,1991-05-01,306.0,666,1991
332,ECA,59,3,667,1991-05-01,321.0,686,1991
333,ECA,59,3,687,1991-05-01,103.0,709,1991
334,ECA,59,3,711,1991-05-01,135.0,730,1991
335,ECA,59,3,731,1991-05-01,129.0,753,1991
336,ECA,59,3,755,1991-05-01,30.0,786,1991
337,ECA,59,3,787,1991-05-01,44.0,815,1991
338,ECA,59,3,817,1991-05-01,1419.0,858,1991
339,ECA,59,2,283,1991-03-01,416.0,306,1991
340,ECA,59,2,307,1991-03-01,140.0,345,1991
341,ECA,59,2,347,1991-03-01,2448.0,370,1991
342,ECA,59,2,371,1991-03-01,223.0,396,1991
343,ECA,59,2,397,1991-03-01,58.0,423,1991
344,ECA,59,2,425,1991-03-01,109.0,439,1991
345,ECA,59,2,441,1991-03-01,15.0,460,1991
346,ECA,59,2,461,1991-03-01,92.0,477,1991
347,ECA,59,2,479,1991-03-01,68.0,501,1991
348,ECA,59,1,1,1991-01-01,115.0,23,1991
349,ECA,59,1,25,1991-01-01,206.0,59,1991
350,ECA,59,1,61,1991-01-01,104.0,79,1991
351,ECA,59,1,81,1991-01-01,59.0,98,1991
352,ECA,59,1,99,1991-01-01,5.0,121,1991
353,ECA,59,1,123,1991-01-01,10.0,138,1991
354,ECA,59,1,139,1991-01-01,70.0,163,1991
355,ECA,59,1,165,1991-01-01,77.0,187,1991
356,ECA,59,1,189,1991-01-01,90.0,210,1991
357,ECA,59,1,211,1991-01-01,28.0,236,1991
358,ECA,58,6,1255,1990-11-01,594.0,1277,1990
359,ECA,58,6,1279,1990-11-01,149.0,1319,1990
360,ECA,58,6,1321,1990-11-01,48.0,1339,1990
361,ECA,58,6,1341,1990-11-01,59.0,1364,1990
362,ECA,58,6,1365,1990-11-01,55.0,1390,1990
363,ECA,58,6,1391,1990-11-01,46.0,1409,1990
364,ECA,58,6,1411,1990-11-01,141.0,1441,1990
365,ECA,58,6,1443,1990-11-01,174.0,1458,1990
366,ECA,58,5,1007,1990-09-01,29.0,1040,1990
367,ECA,58,5,1041,1990-09-01,367.0,1063,1990
368,ECA,58,5,1065,1990-09-01,83.0,1081,1990
369,ECA,58,5,1083,1990-09-01,87.0,1099,1990
370,ECA,58,5,1101,1990-09-01,12.0,1119,1990
371,ECA,58,5,1121,1990-09-01,225.0,1149,1990
372,ECA,58,5,1151,1990-09-01,210.0,1180,1990
373,ECA,58,5,1181,1990-09-01,29.0,1194,1990
374,ECA,58,5,1195,1990-09-01,48.0,1214,1990
375,ECA,58,5,1215,1990-09-01,3.0,1234,1990
376,ECA,58,4,757,1990-07-01,614.0,782,1990
377,ECA,58,4,783,1990-07-01,63.0,808,1990
378,ECA,58,4,809,1990-07-01,130.0,837,1990
379,ECA,58,4,839,1990-07-01,7.0,859,1990
380,ECA,58,4,861,1990-07-01,102.0,872,1990
381,ECA,58,4,873,1990-07-01,32.0,900,1990
382,ECA,58,4,901,1990-07-01,59.0,928,1990
383,ECA,58,4,929,1990-07-01,25.0,950,1990
384,ECA,58,3,525,1990-05-01,308.0,542,1990
385,ECA,58,3,543,1990-05-01,83.0,570,1990
386,ECA,58,3,571,1990-05-01,123.0,595,1990
387,ECA,58,3,597,1990-05-01,53.0,619,1990
388,ECA,58,3,621,1990-05-01,2.0,636,1990
389,ECA,58,3,637,1990-05-01,16.0,659,1990
390,ECA,58,3,661,1990-05-01,25.0,682,1990
391,ECA,58,3,683,1990-05-01,52.0,704,1990
392,ECA,58,3,705,1990-05-01,41.0,723,1990
393,ECA,58,2,277,1990-03-01,158.0,307,1990
394,ECA,58,2,309,1990-03-01,76.0,347,1990
395,ECA,58,2,349,1990-03-01,135.0,377,1990
396,ECA,58,2,379,1990-03-01,132.0,409,1990
397,ECA,58,2,411,1990-03-01,29.0,428,1990
398,ECA,58,2,429,1990-03-01,140.0,452,1990
399,ECA,58,2,453,1990-03-01,28.0,473,1990
400,ECA,58,2,475,1990-03-01,43.0,494,1990
401,ECA,58,2,495,1990-03-01,121.0,505,1990
402,ECA,58,1,1,1990-01-01,56.0,23,1990
403,ECA,58,1,25,1990-01-01,202.0,51,1990
404,ECA,58,1,53,1990-01-01,692.0,73,1990
405,ECA,58,1,75,1990-01-01,10.0,92,1990
406,ECA,58,1,93,1990-01-01,16.0,111,1990
407,ECA,58,1,113,1990-01-01,684.0,144,1990
408,ECA,58,1,145,1990-01-01,32.0,163,1990
409,ECA,58,1,165,1990-01-01,609.0,193,1990
410,ECA,57,6,1243,1989-11-01,463.0,1277,1989
411,ECA,57,6,1279,1989-11-01,69.0,1297,1989
412,ECA,57,6,1299,1989-11-01,6.0,1316,1989
413,ECA,57,6,1317,1989-11-01,584.0,1339,1989
414,ECA,57,6,1341,1989-11-01,8.0,1360,1989
415,ECA,57,6,1361,1989-11-01,2439.0,1401,1989
416,ECA,57,6,1403,1989-11-01,391.0,1430,1989
417,ECA,57,5,995,1989-09-01,493.0,1026,1989
418,ECA,57,5,1027,1989-09-01,458.0,1057,1989
419,ECA,57,5,1059,1989-09-01,36.0,1090,1989
420,ECA,57,5,1091,1989-09-01,152.0,1120,1989
421,ECA,57,5,1121,1989-09-01,431.0,1152,1989
422,ECA,57,5,1153,1989-09-01,40.0,1169,1989
423,ECA,57,5,1171,1989-09-01,84.0,1214,1989
424,ECA,57,4,759,1989-07-01,180.0,778,1989
425,ECA,57,4,779,1989-07-01,197.0,813,1989
426,ECA,57,4,815,1989-07-01,43.0,829,1989
427,ECA,57,4,831,1989-07-01,27.0,860,1989
428,ECA,57,4,861,1989-07-01,56.0,888,1989
429,ECA,57,4,889,1989-07-01,34.0,910,1989
430,ECA,57,4,911,1989-07-01,3.0,935,1989
431,ECA,57,4,937,1989-07-01,958.0,969,1989
432,ECA,57,3,511,1989-05-01,138.0,531,1989
433,ECA,57,3,533,1989-05-01,125.0,557,1989
434,ECA,57,3,559,1989-05-01,37.0,570,1989
435,ECA,57,3,571,1989-05-01,1106.0,587,1989
436,ECA,57,3,589,1989-05-01,287.0,614,1989
437,ECA,57,3,615,1989-05-01,103.0,635,1989
438,ECA,57,3,637,1989-05-01,105.0,660,1989
439,ECA,57,3,661,1989-05-01,6.0,674,1989
440,ECA,57,2,275,1989-03-01,17.0,306,1989
441,ECA,57,2,307,1989-03-01,1838.0,333,1989
442,ECA,57,2,335,1989-03-01,40.0,355,1989
443,ECA,57,2,357,1989-03-01,2591.0,384,1989
444,ECA,57,2,385,1989-03-01,47.0,409,1989
445,ECA,57,2,411,1989-03-01,267.0,445,1989
446,ECA,57,2,447,1989-03-01,212.0,480,1989
447,ECA,57,2,481,1989-03-01,277.0,501,1989
448,ECA,57,1,1,1989-01-01,82.0,40,1989
449,ECA,57,1,41,1989-01-01,21.0,80,1989
450,ECA,57,1,81,1989-01-01,125.0,95,1989
451,ECA,57,1,97,1989-01-01,17.0,113,1989
452,ECA,57,1,115,1989-01-01,56.0,134,1989
453,ECA,57,1,135,1989-01-01,82.0,162,1989
454,ECA,57,1,163,1989-01-01,26.0,169,1989
455,ECA,57,1,171,1989-01-01,4.0,185,1989
456,ECA,56,6,1247,1988-11-01,253.0,1257,1988
457,ECA,56,6,1259,1988-11-01,168.0,1281,1988
458,ECA,56,6,1283,1988-11-01,17.0,1300,1988
459,ECA,56,6,1301,1988-11-01,55.0,1314,1988
460,ECA,56,6,1315,1988-11-01,110.0,1332,1988
461,ECA,56,6,1333,1988-11-01,84.0,1354,1988
462,ECA,56,6,1355,1988-11-01,93.0,1369,1988
463,ECA,56,6,1371,1988-11-01,776.0,1395,1988
464,ECA,56,6,1397,1988-11-01,145.0,1417,1988
465,ECA,56,6,1419,1988-11-01,54.0,1453,1988
466,ECA,56,5,997,1988-09-01,21.0,1019,1988
467,ECA,56,5,1021,1988-09-01,117.0,1043,1988
468,ECA,56,5,1045,1988-09-01,109.0,1064,1988
469,ECA,56,5,1065,1988-09-01,61.0,1083,1988
470,ECA,56,5,1085,1988-09-01,163.0,1118,1988
471,ECA,56,5,1119,1988-09-01,408.0,1151,1988
472,ECA,56,5,1153,1988-09-01,232.0,1175,1988
473,ECA,56,5,1177,1988-09-01,164.0,1190,1988
474,ECA,56,5,1191,1988-09-01,189.0,1220,1988
475,ECA,56,5,1221,1988-09-01,27.0,1239,1988
476,ECA,56,4,755,1988-07-01,536.0,785,1988
477,ECA,56,4,787,1988-07-01,89.0,814,1988
478,ECA,56,4,815,1988-07-01,12.0,840,1988
479,ECA,56,4,841,1988-07-01,3.0,849,1988
480,ECA,56,4,851,1988-07-01,65.0,876,1988
481,ECA,56,4,877,1988-07-01,82.0,908,1988
482,ECA,56,4,909,1988-07-01,46.0,930,1988
483,ECA,56,4,931,1988-07-01,769.0,954,1988
