ArticleID,Journal,FirstPage,PubDate
89,ECA,1125,1996-09-01
90,ECA,1151,1996-09-01
91,ECA,1183,1996-09-01
92,ECA,1195,1996-09-01
93,ECA,763,1996-07-01
94,ECA,813,1996-07-01
95,ECA,837,1996-07-01
96,ECA,865,1996-07-01
97,ECA,891,1996-07-01
98,ECA,917,1996-07-01
99,ECA,943,1996-07-01
100,ECA,957,1996-07-01
101,ECA,527,1996-05-01
102,ECA,561,1996-05-01
103,ECA,575,1996-05-01
104,ECA,597,1996-05-01
105,ECA,623,1996-05-01
106,ECA,647,1996-05-01
107,ECA,261,1996-03-01
108,ECA,295,1996-03-01
109,ECA,333,1996-03-01
110,ECA,343,1996-03-01
111,ECA,357,1996-03-01
112,ECA,381,1996-03-01
113,ECA,413,1996-03-01
114,ECA,1,1996-01-01
115,ECA,29,1996-01-01
116,ECA,51,1996-01-01
117,ECA,77,1996-01-01
118,ECA,103,1996-01-01
119,ECA,139,1996-01-01
120,ECA,175,1996-01-01
121,ECA,1255,1995-11-01
122,ECA,1281,1995-11-01
123,ECA,1303,1995-11-01
124,ECA,1321,1995-11-01
125,ECA,1337,1995-11-01
126,ECA,1371,1995-11-01
127,ECA,1401,1995-11-01
128,ECA,1421,1995-11-01
129,ECA,1445,1995-11-01
130,ECA,1023,1995-09-01
131,ECA,1079,1995-09-01
132,ECA,1113,1995-09-01
133,ECA,1133,1995-09-01
134,ECA,1161,1995-09-01
135,ECA,1181,1995-09-01
136,ECA,1195,1995-09-01
137,ECA,755,1995-07-01
138,ECA,767,1995-07-01
139,ECA,805,1995-07-01
140,ECA,841,1995-07-01
141,ECA,891,1995-07-01
142,ECA,953,1995-07-01
143,ECA,981,1995-07-01
144,ECA,507,1995-05-01
145,ECA,545,1995-05-01
146,ECA,567,1995-05-01
147,ECA,591,1995-05-01
148,ECA,621,1995-05-01
149,ECA,647,1995-05-01
150,ECA,667,1995-05-01
151,ECA,681,1995-05-01
152,ECA,265,1995-03-01
153,ECA,281,1995-03-01
154,ECA,303,1995-03-01
155,ECA,327,1995-03-01
156,ECA,371,1995-03-01
157,ECA,401,1995-03-01
158,ECA,1,1995-01-01
159,ECA,29,1995-01-01
160,ECA,51,1995-01-01
161,ECA,89,1995-01-01
162,ECA,103,1995-01-01
163,ECA,145,1995-01-01
164,ECA,159,1995-01-01
165,ECA,1251,1994-11-01
166,ECA,1291,1994-11-01
167,ECA,1327,1994-11-01
168,ECA,1349,1994-11-01
169,ECA,1383,1994-11-01
170,ECA,1415,1994-11-01
171,ECA,997,1994-09-01
172,ECA,1041,1994-09-01
173,ECA,1065,1994-09-01
174,ECA,1087,1994-09-01
175,ECA,1115,1994-09-01
176,ECA,1141,1994-09-01
177,ECA,1161,1994-09-01
178,ECA,1179,1994-09-01
179,ECA,1207,1994-09-01
180,ECA,745,1994-07-01
181,ECA,783,1994-07-01
182,ECA,795,1994-07-01
183,ECA,819,1994-07-01
184,ECA,853,1994-07-01
185,ECA,881,1994-07-01
186,ECA,901,1994-07-01
187,ECA,507,1994-05-01
188,ECA,539,1994-05-01
189,ECA,593,1994-05-01
190,ECA,635,1994-05-01
191,ECA,657,1994-05-01
192,ECA,257,1994-03-01
193,ECA,283,1994-03-01
194,ECA,323,1994-03-01
195,ECA,343,1994-03-01
196,ECA,373,1994-03-01
197,ECA,405,1994-03-01
198,ECA,1,1994-01-01
199,ECA,43,1994-01-01
200,ECA,73,1994-01-01
201,ECA,95,1994-01-01
202,ECA,117,1994-01-01
203,ECA,157,1994-01-01
204,ECA,1247,1993-11-01
205,ECA,1281,1993-11-01
206,ECA,1313,1993-11-01
207,ECA,1341,1993-11-01
208,ECA,1355,1993-11-01
209,ECA,1367,1993-11-01
210,ECA,1395,1993-11-01
211,ECA,989,1993-09-01
212,ECA,1019,1993-09-01
213,ECA,1047,1993-09-01
214,ECA,1073,1993-09-01
215,ECA,1109,1993-09-01
216,ECA,1147,1993-09-01
217,ECA,1173,1993-09-01
218,ECA,1199,1993-09-01
219,ECA,745,1993-07-01
220,ECA,783,1993-07-01
221,ECA,821,1993-07-01
222,ECA,857,1993-07-01
223,ECA,871,1993-07-01
224,ECA,909,1993-07-01
225,ECA,929,1993-07-01
226,ECA,495,1993-05-01
227,ECA,523,1993-05-01
228,ECA,547,1993-05-01
229,ECA,575,1993-05-01
230,ECA,589,1993-05-01
231,ECA,613,1993-05-01
232,ECA,629,1993-05-01
233,ECA,657,1993-05-01
234,ECA,251,1993-03-01
235,ECA,273,1993-03-01
236,ECA,303,1993-03-01
237,ECA,325,1993-03-01
238,ECA,353,1993-03-01
239,ECA,387,1993-03-01
240,ECA,1,1993-01-01
241,ECA,29,1993-01-01
242,ECA,57,1993-01-01
243,ECA,85,1993-01-01
244,ECA,123,1993-01-01
245,ECA,139,1993-01-01
246,ECA,167,1993-01-01
247,ECA,1233,1992-11-01
248,ECA,1255,1992-11-01
249,ECA,1273,1992-11-01
250,ECA,1293,1992-11-01
251,ECA,1331,1992-11-01
252,ECA,1351,1992-11-01
253,ECA,1387,1992-11-01
254,ECA,1407,1992-11-01
255,ECA,993,1992-09-01
256,ECA,1009,1992-09-01
257,ECA,1039,1992-09-01
258,ECA,1071,1992-09-01
259,ECA,1097,1992-09-01
260,ECA,1127,1992-09-01
261,ECA,1151,1992-09-01
262,ECA,1171,1992-09-01
263,ECA,1187,1992-09-01
264,ECA,1215,1992-09-01
265,ECA,745,1992-07-01
266,ECA,781,1992-07-01
267,ECA,803,1992-07-01
268,ECA,837,1992-07-01
269,ECA,859,1992-07-01
270,ECA,877,1992-07-01
271,ECA,889,1992-07-01
272,ECA,919,1992-07-01
273,ECA,973,1992-07-01
274,ECA,505,1992-05-01
275,ECA,533,1992-05-01
276,ECA,567,1992-05-01
277,ECA,597,1992-05-01
278,ECA,627,1992-05-01
279,ECA,651,1992-05-01
280,ECA,667,1992-05-01
281,ECA,239,1992-03-01
282,ECA,271,1992-03-01
283,ECA,287,1992-03-01
284,ECA,323,1992-03-01
285,ECA,353,1992-03-01
286,ECA,395,1992-03-01
287,ECA,1,1992-01-01
288,ECA,43,1992-01-01
289,ECA,57,1992-01-01
290,ECA,77,1992-01-01
291,ECA,107,1992-01-01
292,ECA,119,1992-01-01
293,ECA,145,1992-01-01
294,ECA,159,1992-01-01
295,ECA,1525,1991-11-01
296,ECA,1551,1991-11-01
297,ECA,1581,1991-11-01
298,ECA,1591,1991-11-01
299,ECA,1601,1991-11-01
300,ECA,1617,1991-11-01
301,ECA,1633,1991-11-01
302,ECA,1659,1991-11-01
303,ECA,1687,1991-11-01
304,ECA,1713,1991-11-01
305,ECA,1735,1991-11-01
306,ECA,1755,1991-11-01
307,ECA,1221,1991-09-01
308,ECA,1249,1991-09-01
309,ECA,1279,1991-09-01
310,ECA,1315,1991-09-01
311,ECA,1329,1991-09-01
312,ECA,1365,1991-09-01
313,ECA,1383,1991-09-01
314,ECA,1395,1991-09-01
315,ECA,1425,1991-09-01
316,ECA,1455,1991-09-01
317,ECA,909,1991-07-01
318,ECA,925,1991-07-01
319,ECA,953,1991-07-01
320,ECA,967,1991-07-01
321,ECA,981,1991-07-01
322,ECA,997,1991-07-01
323,ECA,1023,1991-07-01
324,ECA,1041,1991-07-01
325,ECA,1069,1991-07-01
326,ECA,1091,1991-07-01
327,ECA,1105,1991-07-01
328,ECA,1127,1991-07-01
329,ECA,595,1991-05-01
330,ECA,611,1991-05-01
331,ECA,637,1991-05-01
332,ECA,667,1991-05-01
333,ECA,687,1991-05-01
334,ECA,711,1991-05-01
335,ECA,731,1991-05-01
336,ECA,755,1991-05-01
337,ECA,787,1991-05-01
338,ECA,817,1991-05-01
339,ECA,283,1991-03-01
340,ECA,307,1991-03-01
341,ECA,347,1991-03-01
342,ECA,371,1991-03-01
343,ECA,397,1991-03-01
344,ECA,425,1991-03-01
345,ECA,441,1991-03-01
346,ECA,461,1991-03-01
347,ECA,479,1991-03-01
348,ECA,1,1991-01-01
349,ECA,25,1991-01-01
350,ECA,61,1991-01-01
351,ECA,81,1991-01-01
352,ECA,99,1991-01-01
353,ECA,123,1991-01-01
354,ECA,139,1991-01-01
355,ECA,165,1991-01-01
356,ECA,189,1991-01-01
357,ECA,211,1991-01-01
358,ECA,1255,1990-11-01
359,ECA,1279,1990-11-01
360,ECA,1321,1990-11-01
361,ECA,1341,1990-11-01
362,ECA,1365,1990-11-01
363,ECA,1391,1990-11-01
364,ECA,1411,1990-11-01
365,ECA,1443,1990-11-01
366,ECA,1007,1990-09-01
367,ECA,1041,1990-09-01
368,ECA,1065,1990-09-01
369,ECA,1083,1990-09-01
370,ECA,1101,1990-09-01
371,ECA,1121,1990-09-01
372,ECA,1151,1990-09-01
373,ECA,1181,1990-09-01
374,ECA,1195,1990-09-01
375,ECA,1215,1990-09-01
376,ECA,757,1990-07-01
377,ECA,783,1990-07-01
378,ECA,809,1990-07-01
379,ECA,839,1990-07-01
380,ECA,861,1990-07-01
381,ECA,873,1990-07-01
382,ECA,901,1990-07-01
383,ECA,929,1990-07-01
384,ECA,525,1990-05-01
385,ECA,543,1990-05-01
386,ECA,571,1990-05-01
387,ECA,597,1990-05-01
388,ECA,621,1990-05-01
389,ECA,637,1990-05-01
390,ECA,661,1990-05-01
391,ECA,683,1990-05-01
392,ECA,705,1990-05-01
393,ECA,277,1990-03-01
394,ECA,309,1990-03-01
395,ECA,349,1990-03-01
396,ECA,379,1990-03-01
397,ECA,411,1990-03-01
398,ECA,429,1990-03-01
399,ECA,453,1990-03-01
400,ECA,475,1990-03-01
401,ECA,495,1990-03-01
402,ECA,1,1990-01-01
403,ECA,25,1990-01-01
404,ECA,53,1990-01-01
405,ECA,75,1990-01-01
406,ECA,93,1990-01-01
407,ECA,113,1990-01-01
408,ECA,145,1990-01-01
409,ECA,165,1990-01-01
410,ECA,1243,1989-11-01
411,ECA,1279,1989-11-01
412,ECA,1299,1989-11-01
413,ECA,1317,1989-11-01
414,ECA,1341,1989-11-01
415,ECA,1361,1989-11-01
416,ECA,1403,1989-11-01
417,ECA,995,1989-09-01
418,ECA,1027,1989-09-01
419,ECA,1059,1989-09-01
420,ECA,1091,1989-09-01
421,ECA,1121,1989-09-01
422,ECA,1153,1989-09-01
423,ECA,1171,1989-09-01
424,ECA,759,1989-07-01
425,ECA,779,1989-07-01
426,ECA,815,1989-07-01
427,ECA,831,1989-07-01
428,ECA,861,1989-07-01
429,ECA,889,1989-07-01
430,ECA,911,1989-07-01
431,ECA,937,1989-07-01
432,ECA,511,1989-05-01
433,ECA,533,1989-05-01
434,ECA,559,1989-05-01
435,ECA,571,1989-05-01
436,ECA,589,1989-05-01
437,ECA,615,1989-05-01
438,ECA,637,1989-05-01
439,ECA,661,1989-05-01
440,ECA,275,1989-03-01
441,ECA,307,1989-03-01
442,ECA,335,1989-03-01
443,ECA,357,1989-03-01
444,ECA,385,1989-03-01
445,ECA,411,1989-03-01
446,ECA,447,1989-03-01
447,ECA,481,1989-03-01
448,ECA,1,1989-01-01
449,ECA,41,1989-01-01
450,ECA,81,1989-01-01
451,ECA,97,1989-01-01
452,ECA,115,1989-01-01
453,ECA,135,1989-01-01
454,ECA,163,1989-01-01
455,ECA,171,1989-01-01
456,ECA,1247,1988-11-01
457,ECA,1259,1988-11-01
458,ECA,1283,1988-11-01
459,ECA,1301,1988-11-01
460,ECA,1315,1988-11-01
461,ECA,1333,1988-11-01
462,ECA,1355,1988-11-01
463,ECA,1371,1988-11-01
464,ECA,1397,1988-11-01
465,ECA,1419,1988-11-01
466,ECA,997,1988-09-01
467,ECA,1021,1988-09-01
468,ECA,1045,1988-09-01
469,ECA,1065,1988-09-01
470,ECA,1085,1988-09-01
471,ECA,1119,1988-09-01
472,ECA,1153,1988-09-01
473,ECA,1177,1988-09-01
474,ECA,1191,1988-09-01
475,ECA,1221,1988-09-01
476,ECA,755,1988-07-01
477,ECA,787,1988-07-01
478,ECA,815,1988-07-01
479,ECA,841,1988-07-01
480,ECA,851,1988-07-01
481,ECA,877,1988-07-01
482,ECA,909,1988-07-01
483,ECA,931,1988-07-01
484,ECA,955,1988-07-01
485,ECA,973,1988-07-01
486,ECA,981,1988-07-01
487,ECA,497,1988-05-01
488,ECA,531,1988-05-01
489,ECA,549,1988-05-01
490,ECA,571,1988-05-01
491,ECA,601,1988-05-01
492,ECA,613,1988-05-01
493,ECA,645,1988-05-01
494,ECA,661,1988-05-01
495,ECA,693,1988-05-01
496,ECA,259,1988-03-01
497,ECA,295,1988-03-01
498,ECA,317,1988-03-01
499,ECA,335,1988-03-01
500,ECA,361,1988-03-01
501,ECA,383,1988-03-01
502,ECA,397,1988-03-01
503,ECA,411,1988-03-01
504,ECA,433,1988-03-01
505,ECA,449,1988-03-01
506,ECA,1,1988-01-01
507,ECA,37,1988-01-01
508,ECA,63,1988-01-01
509,ECA,91,1988-01-01
510,ECA,119,1988-01-01
511,ECA,147,1988-01-01
512,ECA,1249,1987-11-01
513,ECA,1275,1987-11-01
514,ECA,1305,1987-11-01
515,ECA,1331,1987-11-01
516,ECA,1349,1987-11-01
517,ECA,1367,1987-11-01
518,ECA,1391,1987-11-01
519,ECA,1403,1987-11-01
520,ECA,1419,1987-11-01
521,ECA,1433,1987-11-01
522,ECA,1451,1987-11-01
523,ECA,999,1987-09-01
524,ECA,1035,1987-09-01
525,ECA,1057,1987-09-01
526,ECA,1075,1987-09-01
527,ECA,1109,1987-09-01
528,ECA,1139,1987-09-01
529,ECA,1151,1987-09-01
530,ECA,1165,1987-09-01
531,ECA,1187,1987-09-01
532,ECA,749,1987-07-01
533,ECA,765,1987-07-01
534,ECA,801,1987-07-01
535,ECA,819,1987-07-01
536,ECA,849,1987-07-01
537,ECA,875,1987-07-01
538,ECA,893,1987-07-01
539,ECA,911,1987-07-01
540,ECA,923,1987-07-01
541,ECA,935,1987-07-01
542,ECA,963,1987-07-01
543,ECA,491,1987-05-01
544,ECA,515,1987-05-01
545,ECA,533,1987-05-01
546,ECA,559,1987-05-01
547,ECA,587,1987-05-01
548,ECA,615,1987-05-01
549,ECA,633,1987-05-01
550,ECA,647,1987-05-01
551,ECA,663,1987-05-01
552,ECA,675,1987-05-01
553,ECA,251,1987-03-01
554,ECA,277,1987-03-01
555,ECA,303,1987-03-01
556,ECA,329,1987-03-01
557,ECA,357,1987-03-01
558,ECA,363,1987-03-01
559,ECA,391,1987-03-01
560,ECA,409,1987-03-01
561,ECA,425,1987-03-01
562,ECA,441,1987-03-01
563,ECA,1,1987-01-01
564,ECA,19,1987-01-01
565,ECA,43,1987-01-01
566,ECA,69,1987-01-01
567,ECA,95,1987-01-01
568,ECA,117,1987-01-01
569,ECA,143,1987-01-01
570,ECA,1259,1986-11-01
571,ECA,1271,1986-11-01
572,ECA,1319,1986-11-01
573,ECA,1339,1986-11-01
574,ECA,1357,1986-11-01
575,ECA,1375,1986-11-01
576,ECA,1387,1986-11-01
577,ECA,1407,1986-11-01
578,ECA,1425,1986-11-01
579,ECA,1435,1986-11-01
580,ECA,1461,1986-11-01
582,ECA,1003,1986-09-01
583,ECA,1039,1986-09-01
584,ECA,1055,1986-09-01
585,ECA,1079,1986-09-01
586,ECA,1099,1986-09-01
587,ECA,1129,1986-09-01
588,ECA,1161,1986-09-01
589,ECA,1185,1986-09-01
590,ECA,1197,1986-09-01
591,ECA,1207,1986-09-01
592,ECA,1237,1986-09-01
593,ECA,755,1986-07-01
594,ECA,785,1986-07-01
595,ECA,807,1986-07-01
596,ECA,819,1986-07-01
597,ECA,845,1986-07-01
598,ECA,869,1986-07-01
599,ECA,881,1986-07-01
600,ECA,897,1986-07-01
601,ECA,909,1986-07-01
602,ECA,923,1986-07-01
603,ECA,943,1986-07-01
604,ECA,961,1986-07-01
605,ECA,507,1986-05-01
606,ECA,533,1986-05-01
607,ECA,555,1986-05-01
608,ECA,585,1986-05-01
609,ECA,607,1986-05-01
610,ECA,623,1986-05-01
611,ECA,641,1986-05-01
612,ECA,657,1986-05-01
613,ECA,249,1986-03-01
614,ECA,275,1986-03-01
615,ECA,295,1986-03-01
616,ECA,313,1986-03-01
617,ECA,323,1986-03-01
618,ECA,359,1986-03-01
619,ECA,363,1986-03-01
620,ECA,395,1986-03-01
621,ECA,415,1986-03-01
622,ECA,1,1986-01-01
623,ECA,23,1986-01-01
624,ECA,47,1986-01-01
625,ECA,65,1986-01-01
626,ECA,87,1986-01-01
627,ECA,95,1986-01-01
628,ECA,109,1986-01-01
629,ECA,129,1986-01-01
630,ECA,139,1986-01-01
631,ECA,153,1986-01-01
632,ECA,171,1986-01-01
633,ECA,1255,1985-11-01
634,ECA,1283,1985-11-01
635,ECA,1295,1985-11-01
636,ECA,1315,1985-11-01
637,ECA,1337,1985-11-01
638,ECA,1357,1985-11-01
639,ECA,1369,1985-11-01
640,ECA,1395,1985-11-01
641,ECA,1411,1985-11-01
642,ECA,1421,1985-11-01
643,ECA,1499,1985-11-01
644,ECA,995,1985-09-01
645,ECA,1047,1985-09-01
646,ECA,1071,1985-09-01
647,ECA,1101,1985-09-01
648,ECA,1117,1985-09-01
649,ECA,1133,1985-09-01
650,ECA,1151,1985-09-01
651,ECA,1173,1985-09-01
652,ECA,1199,1985-09-01
653,ECA,1233,1985-09-01
654,ECA,745,1985-07-01
655,ECA,757,1985-07-01
656,ECA,767,1985-07-01
657,ECA,783,1985-07-01
658,ECA,807,1985-07-01
659,ECA,817,1985-07-01
660,ECA,837,1985-07-01
661,ECA,873,1985-07-01
662,ECA,889,1985-07-01
663,ECA,905,1985-07-01
664,ECA,923,1985-07-01
665,ECA,945,1985-07-01
666,ECA,963,1985-07-01
667,ECA,503,1985-05-01
668,ECA,545,1985-05-01
669,ECA,567,1985-05-01
670,ECA,587,1985-05-01
671,ECA,599,1985-05-01
672,ECA,613,1985-05-01
673,ECA,629,1985-05-01
674,ECA,659,1985-05-01
675,ECA,253,1985-03-01
676,ECA,271,1985-03-01
677,ECA,295,1985-03-01
678,ECA,307,1985-03-01
679,ECA,329,1985-03-01
680,ECA,345,1985-03-01
681,ECA,363,1985-03-01
682,ECA,385,1985-03-01
683,ECA,409,1985-03-01
684,ECA,433,1985-03-01
685,ECA,455,1985-03-01
686,ECA,1,1985-01-01
687,ECA,31,1985-01-01
688,ECA,69,1985-01-01
689,ECA,77,1985-01-01
690,ECA,85,1985-01-01
691,ECA,109,1985-01-01
692,ECA,129,1985-01-01
693,ECA,157,1985-01-01
694,ECA,177,1985-01-01
695,ECA,1327,1984-11-01
696,ECA,1351,1984-11-01
697,ECA,1365,1984-11-01
698,ECA,1369,1984-11-01
699,ECA,1387,1984-11-01
700,ECA,1415,1984-11-01
701,ECA,1437,1984-11-01
702,ECA,1453,1984-11-01
703,ECA,1473,1984-11-01
704,ECA,1085,1984-09-01
705,ECA,1117,1984-09-01
706,ECA,1151,1984-09-01
707,ECA,1167,1984-09-01
708,ECA,1179,1984-09-01
709,ECA,1191,1984-09-01
710,ECA,1199,1984-09-01
711,ECA,1219,1984-09-01
712,ECA,1241,1984-09-01
713,ECA,1271,1984-09-01
714,ECA,1291,1984-09-01
715,ECA,811,1984-07-01
716,ECA,827,1984-07-01
717,ECA,843,1984-07-01
718,ECA,865,1984-07-01
719,ECA,873,1984-07-01
720,ECA,887,1984-07-01
721,ECA,909,1984-07-01
722,ECA,939,1984-07-01
723,ECA,963,1984-07-01
724,ECA,975,1984-07-01
725,ECA,995,1984-07-01
726,ECA,1007,1984-07-01
727,ECA,1029,1984-07-01
728,ECA,541,1984-05-01
729,ECA,563,1984-05-01
730,ECA,579,1984-05-01
731,ECA,599,1984-05-01
732,ECA,631,1984-05-01
733,ECA,647,1984-05-01
734,ECA,665,1984-05-01
735,ECA,681,1984-05-01
736,ECA,701,1984-05-01
737,ECA,721,1984-05-01
738,ECA,737,1984-05-01
739,ECA,271,1984-03-01
740,ECA,321,1984-03-01
741,ECA,345,1984-03-01
742,ECA,363,1984-03-01
743,ECA,391,1984-03-01
744,ECA,419,1984-03-01
745,ECA,427,1984-03-01
746,ECA,449,1984-03-01
747,ECA,461,1984-03-01
748,ECA,489,1984-03-01
749,ECA,507,1984-03-01
750,ECA,21,1984-01-01
751,ECA,47,1984-01-01
752,ECA,59,1984-01-01
753,ECA,87,1984-01-01
754,ECA,123,1984-01-01
755,ECA,143,1984-01-01
756,ECA,163,1984-01-01
757,ECA,185,1984-01-01
758,ECA,1605,1983-11-01
759,ECA,1635,1983-11-01
760,ECA,1661,1983-11-01
761,ECA,1677,1983-11-01
762,ECA,1699,1983-11-01
763,ECA,1731,1983-11-01
764,ECA,1753,1983-11-01
765,ECA,1767,1983-11-01
766,ECA,1799,1983-11-01
767,ECA,1821,1983-11-01
768,ECA,1251,1983-09-01
769,ECA,1281,1983-09-01
770,ECA,1305,1983-09-01
771,ECA,1325,1983-09-01
772,ECA,1345,1983-09-01
773,ECA,1363,1983-09-01
774,ECA,1389,1983-09-01
775,ECA,1407,1983-09-01
776,ECA,1417,1983-09-01
777,ECA,1439,1983-09-01
778,ECA,1449,1983-09-01
779,ECA,1469,1983-09-01
780,ECA,1485,1983-09-01
781,ECA,1505,1983-09-01
782,ECA,1527,1983-09-01
783,ECA,1551,1983-09-01
784,ECA,895,1983-07-01
785,ECA,919,1983-07-01
786,ECA,939,1983-07-01
787,ECA,955,1983-07-01
788,ECA,971,1983-07-01
789,ECA,981,1983-07-01
790,ECA,997,1983-07-01
791,ECA,1021,1983-07-01
792,ECA,1033,1983-07-01
793,ECA,1047,1983-07-01
794,ECA,1065,1983-07-01
795,ECA,1093,1983-07-01
796,ECA,1109,1983-07-01
797,ECA,1121,1983-07-01
798,ECA,1145,1983-07-01
799,ECA,1169,1983-07-01
800,ECA,1187,1983-07-01
801,ECA,1209,1983-07-01
802,ECA,537,1983-05-01
803,ECA,553,1983-05-01
804,ECA,565,1983-05-01
805,ECA,575,1983-05-01
806,ECA,585,1983-05-01
807,ECA,599,1983-05-01
808,ECA,611,1983-05-01
809,ECA,637,1983-05-01
810,ECA,647,1983-05-01
811,ECA,675,1983-05-01
812,ECA,731,1983-05-01
813,ECA,751,1983-05-01
814,ECA,765,1983-05-01
815,ECA,783,1983-05-01
816,ECA,799,1983-05-01
817,ECA,821,1983-05-01
818,ECA,277,1983-03-01
819,ECA,321,1983-03-01
820,ECA,335,1983-03-01
821,ECA,355,1983-03-01
822,ECA,367,1983-03-01
823,ECA,377,1983-03-01
824,ECA,389,1983-03-01
825,ECA,403,1983-03-01
826,ECA,435,1983-03-01
827,ECA,455,1983-03-01
828,ECA,463,1983-03-01
829,ECA,485,1983-03-01
830,ECA,7,1983-01-01
831,ECA,47,1983-01-01
832,ECA,69,1983-01-01
833,ECA,79,1983-01-01
834,ECA,99,1983-01-01
835,ECA,117,1983-01-01
836,ECA,153,1983-01-01
837,ECA,175,1983-01-01
838,ECA,197,1983-01-01
839,ECA,1345,1982-11-01
840,ECA,1371,1982-11-01
841,ECA,1393,1982-11-01
842,ECA,1415,1982-11-01
843,ECA,1431,1982-11-01
844,ECA,1453,1982-11-01
845,ECA,1483,1982-11-01
846,ECA,1505,1982-11-01
847,ECA,1525,1982-11-01
848,ECA,1547,1982-11-01
849,ECA,1559,1982-11-01
850,ECA,1089,1982-09-01
851,ECA,1123,1982-09-01
852,ECA,1143,1982-09-01
853,ECA,1163,1982-09-01
854,ECA,1183,1982-09-01
855,ECA,1207,1982-09-01
856,ECA,1219,1982-09-01
857,ECA,1243,1982-09-01
858,ECA,1269,1982-09-01
859,ECA,1287,1982-09-01
860,ECA,1307,1982-09-01
861,ECA,825,1982-07-01
862,ECA,863,1982-07-01
863,ECA,895,1982-07-01
864,ECA,911,1982-07-01
865,ECA,931,1982-07-01
866,ECA,945,1982-07-01
867,ECA,975,1982-07-01
868,ECA,987,1982-07-01
869,ECA,1009,1982-07-01
870,ECA,1029,1982-07-01
871,ECA,537,1982-05-01
872,ECA,569,1982-05-01
873,ECA,583,1982-05-01
874,ECA,593,1982-05-01
875,ECA,607,1982-05-01
876,ECA,639,1982-05-01
877,ECA,649,1982-05-01
878,ECA,671,1982-05-01
879,ECA,689,1982-05-01
880,ECA,713,1982-05-01
881,ECA,725,1982-05-01
882,ECA,737,1982-05-01
883,ECA,749,1982-05-01
884,ECA,277,1982-03-01
885,ECA,325,1982-03-01
886,ECA,345,1982-03-01
887,ECA,377,1982-03-01
888,ECA,409,1982-03-01
889,ECA,427,1982-03-01
890,ECA,443,1982-03-01
891,ECA,483,1982-03-01
892,ECA,501,1982-03-01
893,ECA,1,1982-01-01
894,ECA,27,1982-01-01
895,ECA,43,1982-01-01
896,ECA,63,1982-01-01
897,ECA,81,1982-01-01
898,ECA,97,1982-01-01
899,ECA,111,1982-01-01
900,ECA,127,1982-01-01
901,ECA,145,1982-01-01
902,ECA,163,1982-01-01
903,ECA,193,1982-01-01
904,ECA,213,1982-01-01
905,ECA,1377,1981-11-01
906,ECA,1399,1981-11-01
907,ECA,1417,1981-11-01
908,ECA,1427,1981-11-01
909,ECA,1443,1981-11-01
