ArticleID,AuthorID,Journal,FirstPage,PubDate,Female
7602,67,QJE,353,1995-05-01,0
7642,67,QJE,33,1993-02-01,0
7821,67,JPE,1,1992-02-01,0
8087,67,QJE,75,1991-02-01,0
8099,67,QJE,739,1991-08-01,0
8118,67,QJE,979,1991-11-01,0
279,69,ECA,651,1992-05-01,0
6361,69,AER,1027,2009-06-01,0
10449,69,RES,297,2001-04-01,0
2267,70,AER,362,1988-06-01,0
2628,70,AER,168,1995-03-01,0
7109,70,JPE,673,1980-08-01,0
2360,71,AER,827,1989-09-01,0
11328,71,RES,621,1981-10-01,0
8108,72,QJE,327,1991-05-01,0
3549,73,QJE,2117,2011-11-01,0
9342,73,P&P,247,2015-05-01,0
2463,74,AER,167,1991-03-01,0
4855,74,AER,110,2005-03-01,0
5568,74,P&P,141,2013-05-01,0
6128,74,AER,574,2001-06-01,0
6861,74,JPE,621,1979-06-01,0
7198,74,QJE,587,1983-11-01,0
8034,74,QJE,61,1990-02-01,0
9302,74,P&P,38,2015-05-01,0
11053,74,RES,205,1986-04-01,0
7082,75,JPE,409,1984-06-01,0
5115,76,P&P,258,2011-05-01,0
607,79,ECA,555,1986-05-01,0
5363,79,P&P,309,2012-05-01,0
8898,79,JPE,1246,1972-11-01,0
7728,80,JPE,100,1993-02-01,0
3755,81,ECA,473,2001-03-01,0
4283,81,QJE,359,2003-05-01,0
5305,81,AER,1029,2012-04-01,0
7723,81,JPE,348,1994-04-01,0
5971,82,AER,2509,2014-08-01,0
8140,82,QJE,1111,1995-11-01,0
3009,83,JPE,144,2002-02-01,0
3249,83,JPE,447,2007-06-01,0
4901,84,AER,1548,2005-12-01,0
2650,85,AER,460,1994-06-01,0
2506,86,AER,901,1992-09-01,0
6486,86,JPE,449,1976-06-01,0
7044,86,JPE,447,1975-06-01,0
7117,86,JPE,26,1981-02-01,0
7448,86,QJE,431,1986-08-01,0
8074,86,QJE,1003,1990-11-01,0
3109,87,JPE,268,2004-02-01,0
4395,88,QJE,647,1997-05-01,0
11007,88,RES,251,1985-04-01,0
11150,88,RES,323,1988-04-01,0
11707,88,RES,543,1979-07-01,0
2288,89,AER,941,1987-12-01,0
8145,89,QJE,65,1996-02-01,0
8682,89,JPE,837,1985-10-01,0
2945,91,JPE,833,2000-08-01,0
3304,91,JPE,324,2009-04-01,0
5054,91,AER,263,2011-02-01,0
10184,91,RES,266,2014-01-01,0
1341,92,ECA,671,1976-07-01,0
6884,92,JPE,351,1979-04-01,0
6961,92,JPE,941,1980-10-01,0
7829,92,JPE,198,1992-02-01,0
6977,93,JPE,905,1986-10-01,0
3053,94,JPE,1220,2002-12-01,0
4769,94,AER,1476,2003-12-01,0
6996,94,JPE,1306,1989-12-01,0
10952,94,RES,3,1994-01-01,0
7113,95,JPE,771,1980-08-01,0
4666,96,QJE,1253,2010-08-01,0
9421,96,JPE,641,2015-06-01,0
3787,97,ECA,91,2002-01-01,0
4034,97,ECA,235,2006-01-01,0
4735,97,AER,113,2003-03-01,0
8305,97,ECA,1537,2008-11-01,0
9699,97,RES,1,2005-01-01,0
78,98,ECA,1311,1996-11-01,0
2430,98,AER,37,1990-03-01,0
2476,98,AER,1170,1991-12-01,0
2769,98,AER,921,1997-12-01,0
3115,98,JPE,348,2004-04-01,0
3612,98,QJE,469,2013-05-01,0
4176,98,QJE,847,2000-08-01,0
4193,98,QJE,1027,1997-11-01,0
4264,98,QJE,409,2002-05-01,0
4326,98,QJE,565,2004-05-01,0
4487,98,QJE,1243,1999-11-01,0
4562,98,QJE,325,2008-02-01,0
4684,98,AER,571,2002-06-01,0
4870,98,AER,602,2005-06-01,0
4895,98,AER,960,2005-09-01,0
5165,98,P&P,499,2011-05-01,0
5231,98,AER,1872,2011-08-01,0
5540,98,AER,554,2013-02-01,0
5770,98,AER,3397,2014-11-01,0
6102,98,AER,1276,2000-12-01,0
6225,98,AER,169,2007-03-01,0
7260,98,QJE,651,1987-08-01,0
7624,98,QJE,465,1994-05-01,0
8067,98,QJE,829,1990-11-01,0
9539,98,AER,1507,2007-09-01,0
10793,98,RES,403,1990-07-01,0
10895,98,RES,663,1992-09-01,0
3081,99,JPE,785,2003-08-01,0
3124,100,JPE,615,2004-06-01,0
3206,100,JPE,485,2006-06-01,0
4178,100,QJE,955,2000-08-01,0
8470,100,ECA,123,2011-01-01,0
9425,100,AER,1711,2015-06-01,0
3652,101,QJE,529,2014-05-01,0
5183,102,P&P,593,2011-05-01,0
5353,102,P&P,261,2012-05-01,0
5867,102,P&P,245,2014-05-01,0
4481,103,QJE,1025,1999-08-01,0
7658,103,QJE,195,1995-02-01,0
2579,104,AER,953,1993-09-01,0
7970,104,JPE,1215,1991-12-01,0
5005,105,AER,1523,2010-09-01,0
5429,105,P&P,95,2012-05-01,0
5491,105,AER,3033,2012-10-01,0
7763,106,JPE,118,1995-02-01,0
172,107,ECA,1041,1994-09-01,0
194,107,ECA,323,1994-03-01,0
3436,107,JPE,1205,2013-12-01,0
3698,107,ECA,1157,1999-09-01,0
3764,107,ECA,891,2001-07-01,0
3858,107,ECA,989,2003-07-01,0
4071,107,ECA,1447,2006-11-01,0
4089,107,ECA,591,2007-03-01,0
4174,107,QJE,791,2000-08-01,0
4320,107,QJE,1049,2003-08-01,0
5915,107,P&P,507,2014-05-01,0
9554,107,AER,1340,2007-09-01,0
9904,107,RES,937,2009-07-01,0
10074,107,RES,1591,2012-10-01,0
10106,107,RES,949,2013-07-01,0
3199,108,JPE,257,2006-04-01,0
3554,108,QJE,283,2012-02-01,0
4141,108,ECA,619,2008-05-01,0
4514,108,QJE,487,2007-05-01,0
5635,108,P&P,502,2013-05-01,0
6214,108,AER,1769,2006-12-01,0
8205,108,ECA,41,2014-01-01,0
8510,108,ECA,1055,2014-05-01,0
9905,108,RES,973,2009-07-01,0
9949,108,RES,841,2010-07-01,0
10297,108,RES,613,2017-04-01,0
10533,108,RES,569,2003-07-01,0
2267,109,AER,362,1988-06-01,0
4079,110,ECA,1715,2006-11-01,0
5889,111,P&P,37,2014-05-01,0
6279,111,AER,604,2008-06-01,0
98,112,ECA,917,1996-07-01,0
147,112,ECA,591,1995-05-01,0
353,112,ECA,123,1991-01-01,0
8437,112,ECA,1905,2010-11-01,0
5057,113,AER,371,2011-02-01,0
10586,113,RES,915,2004-10-01,0
2503,114,AER,847,1992-09-01,1
3394,114,JPE,593,2012-08-01,1
7915,114,JPE,1,1990-02-01,1
10441,114,RES,83,2001-01-01,1
4352,115,QJE,1249,2004-11-01,1
8417,115,ECA,1103,2011-07-01,1
5293,116,AER,396,2012-02-01,1
5764,116,AER,3222,2014-10-01,1
9486,116,AER,2295,2015-08-01,1
5073,117,AER,632,2011-04-01,0
10294,117,RES,503,2017-04-01,0
8357,118,ECA,309,2010-01-01,0
3357,119,JPE,325,2011-04-01,0
5202,119,AER,1106,2011-06-01,0
5271,119,AER,3047,2011-12-01,0
5779,119,AER,3668,2014-11-01,0
9907,119,RES,1023,2009-07-01,0
3010,120,JPE,113,2002-02-01,0
4311,120,QJE,299,2003-02-01,0
4329,120,QJE,707,2004-05-01,0
4580,120,QJE,1161,2008-08-01,0
5779,120,AER,3668,2014-11-01,0
6051,120,AER,1097,1999-12-01,0
6111,120,AER,225,2001-03-01,0
6211,120,AER,1706,2006-12-01,0
9425,120,AER,1711,2015-06-01,0
9694,120,RES,467,2005-04-01,0
9907,120,RES,1023,2009-07-01,0
10357,120,RES,929,2018-04-01,0
10763,120,RES,909,1999-10-01,0
3209,121,JPE,452,2006-06-01,0
3397,121,JPE,879,2012-10-01,0
4100,121,ECA,711,2007-05-01,0
4111,121,ECA,1103,2007-07-01,0
8208,121,ECA,601,2014-03-01,0
10219,121,RES,1438,2014-10-01,0
10346,121,RES,511,2018-01-01,0
4645,122,QJE,363,2010-02-01,0
9298,122,QJE,901,2015-05-01,0
5952,123,AER,1909,2014-07-01,0
3997,124,ECA,961,2005-05-01,0
586,125,ECA,1099,1986-09-01,0
1442,125,ECA,1069,1974-11-01,0
2190,125,AER,180,1998-03-01,0
2353,125,AER,713,1989-09-01,0
2492,125,AER,537,1992-06-01,0
6744,125,JPE,146,1982-02-01,0
6815,125,JPE,462,1980-06-01,0
8067,125,QJE,829,1990-11-01,0
11602,125,RES,165,1978-02-01,0
6399,126,AER,1576,2009-09-01,0
8226,126,ECA,197,2013-01-01,0
10032,126,RES,268,2012-01-01,0
10299,126,RES,688,2017-04-01,0
8517,127,ECA,1203,2013-05-01,0
5459,128,AER,2083,2012-08-01,0
5774,128,AER,3498,2014-11-01,0
10365,128,RES,1251,2018-04-01,0
10398,128,RES,2462,2018-10-01,0
5917,129,P&P,519,2014-05-01,0
3424,130,JPE,682,2013-08-01,0
5538,131,AER,532,2013-02-01,0
3463,132,JPE,215,2015-02-01,0
5754,132,AER,66,2014-01-01,0
2998,133,JPE,993,2001-10-01,0
3193,134,JPE,100,2006-02-01,0
8537,134,ECA,887,2014-05-01,0
4093,135,ECA,121,2007-01-01,0
4600,136,QJE,197,2009-02-01,0
4347,137,QJE,1513,2004-11-01,0
4471,137,QJE,655,1999-05-01,0
10546,137,RES,825,2003-10-01,0
3336,138,JPE,599,2010-06-01,0
5634,139,P&P,496,2013-05-01,0
5863,139,P&P,224,2014-05-01,0
4599,140,QJE,149,2009-02-01,0
5252,140,AER,2487,2011-10-01,0
8458,140,ECA,1,2011-01-01,0
5229,141,AER,1806,2011-08-01,0
5694,142,AER,1797,2013-08-01,0
5882,142,P&P,329,2014-05-01,0
9328,142,P&P,177,2015-05-01,0
5679,143,AER,1398,2013-06-01,0
9585,143,AER,818,2007-06-01,0
3425,144,JPE,966,2013-10-01,0
5833,145,AER,1350,2014-04-01,0
8516,145,ECA,555,2011-03-01,0
8591,145,ECA,2047,2012-09-01,0
10088,145,RES,395,2013-01-01,0
5701,146,AER,2003,2013-08-01,1
3120,147,JPE,253,2004-04-01,0
3564,147,QJE,333,2012-02-01,0
4496,147,QJE,783,2006-08-01,0
4559,147,QJE,177,2008-02-01,0
5489,147,AER,2981,2012-10-01,0
6339,147,AER,112,2009-03-01,0
9319,147,P&P,126,2015-05-01,0
9832,147,RES,229,2008-01-01,0
1171,148,ECA,527,1978-05-01,0
3139,148,JPE,1384,2004-12-01,0
3425,149,JPE,966,2013-10-01,0
8336,150,ECA,1447,2009-09-01,0
8226,151,ECA,197,2013-01-01,0
7295,152,QJE,507,1980-05-01,0
5618,153,P&P,418,2013-05-01,0
3410,154,JPE,74,2013-02-01,0
3458,155,JPE,1271,2014-12-01,0
8422,155,ECA,1093,2010-05-01,0
10015,155,RES,1264,2011-10-01,0
3180,156,JPE,703,2005-08-01,0
3233,156,JPE,250,2007-04-01,0
3346,156,JPE,833,2010-10-01,0
4330,156,QJE,403,2004-05-01,0
4946,156,AER,130,2010-03-01,0
5200,156,P&P,93,2011-05-01,0
5488,156,AER,2955,2012-10-01,0
5826,156,AER,1120,2014-04-01,0
6249,156,AER,180,2008-03-01,0
8465,156,ECA,2511,2012-11-01,0
8596,156,ECA,1309,2013-07-01,0
5635,157,P&P,502,2013-05-01,0
5791,157,AER,4027,2014-12-01,0
5312,158,AER,643,2012-04-01,0
2701,159,AER,25,1996-03-01,1
6571,159,JPE,1013,1976-10-01,1
6006,160,AER,564,2015-02-01,0
8580,160,ECA,1977,2012-09-01,0
5349,161,P&P,24,2012-05-01,0
6002,161,AER,272,2015-01-01,0
2797,162,JPE,104,1998-02-01,1
5449,163,AER,1773,2012-08-01,0
4399,164,QJE,479,1997-05-01,0
3517,165,QJE,145,2011-02-01,1
4662,166,QJE,1051,2010-08-01,1
5412,167,P&P,561,2012-05-01,0
3457,168,JPE,1013,2014-10-01,0
6003,168,AER,131,2015-01-01,0
8331,168,ECA,1003,2013-05-01,0
1033,169,ECA,283,1980-03-01,0
2272,169,AER,431,1988-06-01,0
2476,169,AER,1170,1991-12-01,0
2524,169,AER,11,1993-03-01,0
2744,169,AER,138,1997-03-01,0
6335,169,AER,2203,2008-12-01,0
6974,169,JPE,505,1978-06-01,0
7268,169,QJE,835,1987-11-01,0
7373,169,QJE,357,1985-05-01,0
7587,169,QJE,735,1994-08-01,0
8021,169,QJE,501,1990-05-01,0
10776,169,RES,147,1990-01-01,0
7618,170,QJE,1135,1993-11-01,0
9472,170,ECA,2485,2015-11-01,0
9729,170,RES,1107,2005-10-01,0
9773,170,RES,1057,2006-10-01,0
10648,170,RES,523,1996-10-01,0
586,171,ECA,1099,1986-09-01,0
2353,171,AER,713,1989-09-01,0
6643,171,JPE,914,1981-10-01,0
8878,171,JPE,951,1972-09-01,0
8882,171,JPE,837,1972-09-01,0
9093,171,JPE,1,1968-01-01,0
6979,172,JPE,953,1986-10-01,0
6969,173,JPE,405,1978-06-01,0
7077,173,JPE,1197,1981-12-01,0
5828,174,AER,1172,2014-04-01,0
10073,174,RES,1559,2012-10-01,0
7702,175,JPE,1047,1992-10-01,0
3208,176,JPE,594,2006-06-01,0
3034,178,JPE,793,2002-08-01,0
732,179,ECA,631,1984-05-01,0
2326,179,AER,108,1988-03-01,0
2599,179,AER,1261,1994-12-01,0
2803,179,JPE,334,1998-04-01,0
3029,179,JPE,592,2002-06-01,0
3189,179,JPE,175,2006-02-01,0
7332,179,QJE,293,1987-05-01,0
4046,180,ECA,667,2006-05-01,0
5955,180,AER,2014,2014-07-01,0
10038,180,RES,451,2012-04-01,0
10176,180,RES,1,2014-01-01,0
3614,181,QJE,1365,2013-08-01,0
3669,181,QJE,1753,2014-11-01,0
5614,181,P&P,398,2013-05-01,0
8595,181,ECA,1,2013-01-01,0
4999,182,AER,1330,2010-09-01,0
5546,183,AER,1091,2013-04-01,0
7698,184,JPE,954,1992-10-01,0
11326,184,RES,599,1981-10-01,0
3736,185,ECA,1303,2000-11-01,0
5078,185,AER,788,2011-04-01,0
5781,185,AER,3725,2014-11-01,0
6191,185,AER,1271,2006-09-01,0
8378,185,ECA,1437,2008-11-01,0
9578,185,AER,1994,2007-12-01,0
10524,185,RES,343,2003-04-01,0
5190,186,P&P,625,2011-05-01,0
9516,186,AER,3385,2015-11-01,0
19,187,ECA,569,1998-05-01,0
434,187,ECA,559,1989-05-01,0
751,187,ECA,47,1984-01-01,0
851,187,ECA,1123,1982-09-01,0
876,187,ECA,639,1982-05-01,0
1043,187,ECA,457,1980-03-01,0
1176,187,ECA,587,1978-05-01,0
1278,187,ECA,657,1977-04-01,0
2246,187,AER,355,1989-06-01,0
2376,187,AER,415,1991-06-01,0
2377,187,AER,441,1991-06-01,0
2471,187,AER,1068,1991-12-01,0
2646,187,AER,992,1994-09-01,0
2888,187,JPE,284,1997-04-01,0
3094,187,JPE,1342,2003-12-01,0
3626,187,QJE,1585,2013-11-01,0
3674,187,ECA,21,1999-01-01,0
3815,187,ECA,1341,2002-07-01,0
4155,187,QJE,201,2000-02-01,0
4327,187,QJE,457,2004-05-01,0
5372,187,P&P,354,2012-05-01,0
5457,187,AER,2018,2012-08-01,0
5899,187,P&P,425,2014-05-01,0
6041,187,AER,748,1999-09-01,0
6181,187,AER,1029,2006-09-01,0
6418,187,AER,1954,2009-12-01,0
6846,187,JPE,991,1984-12-01,0
7548,187,QJE,865,1992-08-01,0
9363,187,P&P,357,2015-05-01,0
9543,187,AER,828,2007-06-01,0
6607,188,JPE,1136,1973-09-01,0
9135,188,JPE,860,1968-07-01,0
9155,188,JPE,71,1967-02-01,0
7316,190,QJE,103,1986-02-01,0
8622,190,JPE,160,1987-02-01,0
2795,191,JPE,41,1998-02-01,0
3096,191,JPE,1220,2003-12-01,0
3395,191,JPE,696,2012-08-01,0
3467,191,QJE,423,2005-05-01,0
3632,191,QJE,1727,2013-11-01,0
4184,191,QJE,1091,2000-11-01,0
5778,191,AER,3635,2014-11-01,0
7577,191,QJE,775,1993-08-01,0
7801,191,JPE,443,1993-06-01,0
8109,191,QJE,369,1991-05-01,0
8174,191,QJE,641,1995-08-01,0
5887,192,P&P,360,2014-05-01,1
3354,193,JPE,289,2011-04-01,1
5192,193,P&P,635,2011-05-01,1
3545,194,QJE,2125,2011-11-01,1
4653,194,QJE,591,2010-05-01,1
5400,194,P&P,498,2012-05-01,1
9243,194,AER,1030,2015-03-01,1
4131,195,ECA,307,2008-03-01,1
4080,196,ECA,323,2007-03-01,1
10429,196,RES,635,2000-10-01,1
5776,197,AER,3565,2014-11-01,1
9391,197,P&P,502,2015-05-01,1
5399,198,P&P,493,2012-05-01,1
9317,198,P&P,115,2015-05-01,1
3064,199,JPE,404,2003-04-01,0
3037,201,JPE,705,2002-08-01,0
3920,201,ECA,351,2004-03-01,0
10523,201,RES,317,2003-04-01,0
5424,202,P&P,65,2012-05-01,0
3584,203,QJE,1107,2012-08-01,0
3627,203,QJE,1687,2013-11-01,0
4630,203,QJE,1449,2009-11-01,0
5025,203,AER,1967,2010-12-01,0
5239,203,AER,2132,2011-08-01,0
8214,203,ECA,2197,2014-11-01,0
3128,204,JPE,695,2004-06-01,0
5267,204,AER,2923,2011-12-01,0
8202,205,ECA,2087,2013-09-01,0
8561,205,ECA,489,2013-03-01,0
10132,205,RES,156,2015-01-01,0
4679,207,QJE,1727,2010-11-01,0
5708,207,AER,2169,2013-10-01,0
9397,207,P&P,537,2015-05-01,0
9969,207,RES,1450,2010-10-01,0
3647,208,QJE,889,2014-05-01,0
4644,208,QJE,307,2010-02-01,0
2839,209,JPE,161,1999-02-01,0
3231,209,JPE,103,2007-02-01,0
4948,209,AER,193,2010-03-01,0
2277,210,AER,500,1988-06-01,0
6428,210,AER,2149,2009-12-01,0
121,211,ECA,1255,1995-11-01,0
1113,211,ECA,263,1979-03-01,0
1377,211,ECA,79,1976-01-01,0
2441,211,AER,204,1990-03-01,0
4393,211,QJE,341,1997-05-01,0
4395,211,QJE,647,1997-05-01,0
8120,211,QJE,1039,1991-11-01,0
8172,211,QJE,585,1995-08-01,0
3830,212,ECA,1893,2002-09-01,1
3684,213,ECA,471,1999-05-01,1
2716,214,AER,1095,1996-12-01,1
3101,215,JPE,183,2004-02-01,1
3290,215,JPE,837,2008-10-01,1
3580,215,QJE,1057,2012-08-01,1
4328,215,QJE,527,2004-05-01,1
4503,215,QJE,1,2007-02-01,1
4628,215,QJE,969,2009-08-01,1
4669,215,QJE,877,2010-08-01,1
5477,215,AER,2606,2012-10-01,1
5524,215,AER,178,2013-02-01,1
5881,215,P&P,322,2014-05-01,1
6197,215,AER,938,2006-09-01,1
6272,215,AER,1083,2008-06-01,1
8360,215,ECA,1031,2010-05-01,1
9297,215,QJE,841,2015-05-01,1
3555,216,QJE,137,2012-02-01,1
7863,217,JPE,241,1996-04-01,1
3079,218,JPE,818,2003-08-01,1
8462,219,ECA,1069,2011-07-01,1
9418,219,P&P,662,2015-05-01,1
6294,220,AER,1211,2008-09-01,1
9466,220,ECA,2191,2015-11-01,1
7522,221,QJE,255,1992-02-01,1
5887,222,P&P,360,2014-05-01,1
6292,223,AER,967,2008-06-01,0
3387,224,JPE,187,2012-04-01,0
3213,225,JPE,607,2006-08-01,0
4614,225,QJE,771,2009-05-01,0
4867,225,AER,183,2005-03-01,0
5834,225,AER,1368,2014-04-01,0
5979,225,AER,2736,2014-09-01,0
9704,225,RES,109,2005-01-01,0
10040,225,RES,511,2012-04-01,0
4775,226,AER,1597,2003-12-01,0
6358,227,AER,544,2009-03-01,1
382,228,ECA,901,1990-07-01,1
673,228,ECA,629,1985-05-01,1
7807,228,JPE,1097,1994-12-01,1
10827,228,RES,259,1991-04-01,1
11108,228,RES,345,1987-07-01,1
5582,229,P&P,214,2013-05-01,0
9617,229,QJE,1781,2015-11-01,0
4502,230,QJE,999,2006-08-01,0
5765,232,AER,3256,2014-10-01,0
3930,233,ECA,641,2004-03-01,0
8532,233,ECA,1721,2012-07-01,0
9288,233,ECA,813,2015-03-01,0
4078,234,ECA,1699,2006-11-01,0
8489,235,ECA,1869,2011-11-01,0
3287,236,JPE,951,2008-10-01,0
5003,237,AER,1468,2010-09-01,0
9931,237,RES,218,2010-01-01,0
10233,237,RES,165,2016-01-01,0
10282,237,RES,82,2017-01-01,0
6259,238,AER,426,2008-03-01,0
4172,239,QJE,1057,2000-08-01,0
5805,239,AER,609,2014-02-01,0
5086,240,AER,991,2011-04-01,0
5765,240,AER,3256,2014-10-01,0
5857,241,P&P,189,2014-05-01,1
9467,241,ECA,2231,2015-11-01,1
4929,242,AER,387,2006-03-01,0
3858,243,ECA,989,2003-07-01,0
4510,243,QJE,373,2007-02-01,0
6169,243,AER,720,2006-06-01,0
6389,243,AER,1278,2009-09-01,0
9381,243,P&P,452,2015-05-01,0
10301,243,RES,790,2017-04-01,0
10511,243,RES,999,2002-10-01,0
7959,244,JPE,30,1991-02-01,1
4495,245,QJE,1103,2006-08-01,0
4548,246,QJE,1511,2007-11-01,1
5160,246,P&P,471,2011-05-01,1
9322,246,P&P,142,2015-05-01,1
9471,246,ECA,2453,2015-11-01,1
8273,247,ECA,2257,2014-11-01,1
6385,248,AER,1178,2009-09-01,0
8541,248,ECA,781,2013-03-01,0
3542,249,QJE,1879,2011-11-01,0
5648,249,P&P,570,2013-05-01,0
3331,250,JPE,274,2010-04-01,0
5265,251,AER,2873,2011-12-01,0
9813,251,RES,1089,2007-10-01,0
10405,251,RES,117,2000-01-01,0
5420,252,P&P,594,2012-05-01,0
5130,253,P&P,329,2011-05-01,0
4544,254,QJE,747,2006-05-01,0
4996,254,AER,958,2010-06-01,0
5532,254,AER,415,2013-02-01,0
