AuthorID,AuthorName
443,Asen Ivanov
444,Asen Kochov
445,Asger Lunde
446,Asher Wolinsky
447,Ashoka Mody
448,Asim Ijaz Khwaja
449,Assaf Razin
450,Assar Lindbeck
451,Asuman Ozdaglar
452,Athanasios Orphanides
453,Atif Mian
454,Atila Abdulkadiroğlu
455,Atish R. Ghosh
456,Atsushi Kajii
457,Attila Ambrus
458,Aubhik Khan
459,Audra J. Bowlus
460,Augustin Landier
461,Aurélien Baillon
462,Austan Goolsbee
463,Avery M. Guest
464,Avi Goldfarb
465,Avi Simhon
466,Avi Wigderson
467,Avia Spivak
468,Aviad Heifetz
470,Avinash K. Dixit
471,Avinatan Hassidim
472,Aviv Nevo
473,Avner Bar-Ilan
474,Avner Ben-Ner
475,Avner Greif
476,Avner Shaked
478,Axel Anderson
479,Axel Börsch-Supan
480,Axel Ockenfels
481,Ayala Arad
482,Ayca Kaya
483,Ayşe İmrohoroğlu
484,Ayşegül Şahin
485,Aytek Erdil
486,Azeem M. Shaikh
488,B. Curtis Eaton
489,B. Douglas Bernheim
490,B. Peter Pashigian
491,B. Peter Rosendorff
492,B. Piedad Urdinola
493,B. Ravikumar
494,Babu Nahata
495,Babur De Los Santos
496,Badi H. Baltagi
498,Balázs Szentes
499,Barbara J. Mace
500,Barbara L. Wolfe
501,Barbara McCutcheon
502,Barbara Petrongolo
503,Barbara Rossi
504,Barrett E. Kirwan
505,Barry C. Field
506,Barry Eichengreen
507,Barry Falk
508,Barry Nalebuff
509,Barry Naughton
510,Barry R. Chiswick
511,Barry R. Weingast
512,Barry Sopher
513,Barry W. Ickes
514,Bart Hobijn
515,Bart J. Bronnenberg
516,Bart J. Wilson
517,Bart Taub
518,Bartholomew Moore
519,Barton H. Hamilton
521,Barton L. Lipman
522,Bartosz Mackowiak
523,Basant K. Kapur
524,Bastiaan Oud
525,Bauke Visser
526,Beata Smarzynska Javorcik
527,Bee Yan Aw
528,Behzad T. Diba
530,Ben Craig
531,Ben Greiner
532,Ben Groom
533,Ben Lockwood
534,Ben Polak
535,Ben S. Bernanke
536,Benedikt Herrmann
537,Benedikt M. Pötscher
538,Bengt Holmström
540,Benjamin A. Malin
541,Benjamin A. Olken
542,Benjamin Bental
543,Benjamin Born
544,Benjamin Bushong
545,Benjamin Conlee
546,Benjamin Crost
547,Benjamin E. Hermalin
548,Benjamin Edelman
549,Benjamin Eden
550,Benjamin F. Jones
551,Benjamin Golub
552,Benjamin J. Keys
553,Benjamin Klein
554,Benjamin Lester
555,Benjamin M. Friedman
556,Benjamin M. Sand
557,Benjamin Moll
558,Benjamin R. Handel
559,Benjamin R. Mandel
561,Benjamin Van Roy
562,Benjamin W. Bahney
563,Benn Eifert
564,Bennett T. McCallum
565,Benny Moldovanu
566,Bent E. Sørensen
568,Berk Özler
570,Bernard Fortin
572,Bernard Salanié
573,Bernardo Guimaraes
574,Bernd Irlenbusch
575,Bernhard Von Stengel
577,Berthold Herrendorf
578,Bertil Tungodden
579,Bertrand Rime
580,Betsey Stevenson
581,Bev Dahlby
582,Bevin Ashenmiller
583,Bhagwan Chowdhry
584,Bhashkar Mazumder
585,Bhaskar Dutta
586,Bijan B. Aghevli
587,Bilge Yılmaz
589,Bill Dupor
590,Bill M. Woodland
591,Bill Wright
592,Bin Chen
593,Birger Wernerfelt
594,Birgit Grodal
595,Birgit Heydenreich
596,Björn Bartling
597,Björn Tyrefors Hinnerich
598,Björn Wallace
599,Björn Öckert
600,Blaine Roberts
601,Blaise Melly
602,Bo Axell
603,Bo Chen
604,Bo E. Honoré
605,Bogaçhan Çelen
606,Botond Kőszegi
607,Boyan Jovanovic
608,Brad M. Barber
609,Bradford Cornell
610,Bram De Rock
611,Bram Thuysbaert
612,Brandice Canes-Wrone
613,Branko Urošević
614,Brendan Daley
615,Brendan K. Beare
616,Brendan O'Flaherty
617,Brendan Price
618,Breno Braga
619,Brent Neiman
621,Brett Green
622,Brett Noel
623,Brett R. Gordon
625,Brian A. Jacob
626,Brian J. Aitken
627,Brian Blackburn
628,Brian Bowen
629,Brian C. Murray
631,Brian D. Bell
632,Brian D. Kelly
633,Brian D. Wright
634,Brian Duncan
635,Brian Frantz
636,Brian L. Goff
637,Brian Hill
638,Brian J. Hall
640,Brian K. Kovak
641,Brian Knight
642,Brian L. Bentick
643,Brian Merlob
644,Brian P. McCall
645,Brian R. Copeland
646,Brian Sack
647,Brian T. Melzer
648,Brian Wallace
649,Bridger M. Mitchell
650,Bridget Terry Long
651,Brigitte C. Madrian
652,Brit Grosskopf
653,Brook S. Payner
654,Brooke Helppie McFall
655,Brooks Pierce
656,Bruce A. Blonigen
657,Bruce A. Weinberg
658,Bruce Bender
660,Bruce C. Greenwald
661,Bruce C. Petersen
662,Bruce Champ
663,Bruce D. Meyer
664,Bruce D. Smith
665,Bruce E. Hansen
666,Bruce Hay
667,Bruce I. Sacerdote
668,Bruce Ian Carlin
669,Bruce N. Lehmann
670,Bruce Preston
671,Bruce Rhodes
672,Bruce Robert Kingma
674,Bruce W. Hamilton
675,Bruno Biais
676,Bruno Broseta
677,Bruno Crépon
678,Bruno Ferman
680,Bruno L. S. Falcão
681,Bruno S. Frey
682,Bruno Strulovici
683,Bryan E. Stanhouse
684,Bryan Ellickson
685,Bryan L. Boulier
686,Bryan S. Graham
687,Burcu Eyigungor
689,Burhanettin Kuruşçu
690,Burton A. Abrams
691,Byong-Hyong Bahk
692,Byoung Jun
693,Byron F. Lutz
694,Byron W. Brown
695,Byung Sam Yoo
696,Byung-Kun Rhee
697,Bård Harstad
698,C. Duncan MacRae
699,C. Fritz Foley
701,Christian Hansen
702,C. Lanier Benkard
703,Costas Meghir
704,C. Paul Hallwood
705,C. Timothy Koeller
706,C. Y. Cyrus Chu
707,Caglar Ozden
708,Camelia Minoiu
709,Camille Landais
710,Camillo Padoa-Schioppa
711,Campbell R. Harvey
712,Canice Prendergast
713,Cara S. Lown
714,Caralee McLiesh
715,Carl A. Futia
716,Carl Davidson
717,Carl E. Walsh
718,"Carl M. Campbell, III"
719,Carl Shapiro
720,Carl Wennerlind
721,Carlos A. Flores
722,Carlos A. Végh
724,Carlos Alfredo Rodríguez
725,Carlos Carvalho
726,Carlos Dobkin
727,Carlos E. da Costa
728,Carlos J. Ponce
729,Carlos Rodríguez-Palmero
730,Carlos Urrutia
731,Carlos Velasco
732,Carlton Hubbard
733,Carmen F. Menezes
734,Carmen M. Reinhart
736,Carmen Tanner
737,Carol Ann Rogers
738,Carol J. Simon
739,Carol Propper
740,Carol Shiue
741,Carolina Castilla
742,Carolina Villegas-Sanchez
743,Caroline Freund
746,Caroline Minter Hoxby
747,Caroline Ratcliffe
748,Carolyn B. Levine
749,Carolyn Evans
750,Carolyn Fischer
751,Carolyn L. Weaver
752,Carsten Trenkler
753,Cary Deck
754,Casey B. Mulligan
755,Casey Ichniowski
756,Casey Rothschild
757,Cass R. Sunstein
758,Catalina Amuedo-Dorantes
759,Caterina Calsamiglia
760,Catherine C. Eckel
761,Catherine D. Wolfram
762,Catherine E. Tucker
765,Catherine J. Morrison Paul
766,Catherine Thomas
769,Cecilia Elena Rouse
771,Celeste Saravia
772,Cezar Santos
773,Chad Kendall
774,Chad P. Bown
775,Chad Syverson
776,Chaehee Shin
777,Chaim Fershtman
778,Chang-Tai Hsieh
779,Changyong Rhee
780,Chantale LaCasse
781,Chao Fu
782,Chao Gu
784,"Charles A. Holt, Jr."
785,Charles A. M. de Bartolome
786,Charles A. Wilson
787,Charles Bellemare
789,Charles Brown
790,Charles C. Cox
793,Charles D. Kolstad
796,Charles E. Phelps
797,Charles E. Stuart
798,Charles Engel
799,Charles F. Manski
800,Charles G. Geiss
801,Charles H. Whiteman
802,Charles Hokayem
804,Charles I. Jones
805,Charles I. Plosser
806,Charles J. Cicchetti
807,Charles J. Jacklin
808,Charles J. Redlick
811,Charles L. Ballard
812,Charles L. Evans
813,Charles M. Kahn
814,Charles Michalopoulos
815,Charles Morcom
816,Charles N. Noussair
817,Charles Nolan
820,Charles R. Hulten
821,Charles R. Link
822,Charles R. Nelson
823,Charles R. Pierret
824,Charles R. Plott
825,Charles Sprenger
827,Charles T. Carlstrom
828,Charles T. Clotfelter
829,Charles Towe
830,Charles W. Calomiris
833,Charles Zhoucheng Zheng
834,Charlotte Ostergaard
835,Chau-nan Chen
836,Che-Lin Su
837,Chemi Gotlibovski
838,Cheng Wang
839,Chenggang Xu
840,Chenghuan Sean Chu
841,Cheryl Gray
842,Chester S. Spatt
844,Chew Soo Hong
845,Chi-Keung Woo
846,Chiaki Hara
847,Chiara Fumagalli
848,Chihwa Kao
849,Ching-to Albert Ma
851,Chinhui Juhn
852,Chip Heath
853,Chirok Han
854,Chong Xiang
855,Choon-Geol Moon
856,Chris Bidner
857,Chris Edmond
858,Chris Forman
859,Chris I. Telmer
860,Chris J. McKenna
861,Chris Nosko
862,Chris Robinson
863,Chris Shannon
864,Chris Starmer
866,Christian Bayer
867,Christian Bontemps
868,Christian Broda
869,Christian Dippel
870,Christian Dustmann
871,Christian Fons-Rosen
872,Christian Francq
873,Christian Gollier
875,Christian Hellwig
876,Christian Julliard
877,Christian Morrisson
878,Christian Riis
879,Christian Zehnder
880,Christiana E. Hilmer
881,Christina D. Romer
882,Christina H. Paxson
885,Christine L. Soutter
886,Christine A. Parlour
887,Christoph Brunner
888,Christoph March
889,Christoph Rothe
890,Christoph Vanberg
891,Christophe Chamley
892,Christophe Spaenjers
893,Christopher A. Parsons
894,Christopher A. Pissarides
895,Christopher A. Powers
896,Christopher A. Sims
898,Christopher Blattman
899,Christopher Bliss
900,Christopher C. Geczy
902,Christopher Cotton
903,Christopher D. Carroll
904,Christopher F. Baum
905,Christopher F. Goetz
906,Christopher Hanes
907,Christopher Harris
909,Christopher I. Rider
910,Christopher J. Ellis
911,Christopher J. Erceg
912,Christopher J. Flinn
913,Christopher J. Mayer
914,Christopher J. Palmer
915,Christopher J. Ruhm
916,Christopher J. Waller
917,Christopher Johnsen
919,Christopher L. Cavanagh
920,Christopher L. Foote
921,Christopher L. House
922,Christopher M. Snyder
923,Christopher Malloy
925,Christopher N. Avery
926,Christopher Neilson
927,Christopher Otrok
928,Christopher P. Chambers
929,Christopher Phelan
931,Christopher Polk
932,Christopher R. Knittel
933,Christopher R. Taber
934,Christopher R. Thomas
935,Christopher R. Udry
937,Christopher T. Dawes
938,Christopher T. Taylor
941,Christopher Timmins
942,Christopher Tonetti
944,Christopher Woodruff
945,Christos Genakos
946,Christos Ioannidis
947,Chun-Yi Yang
948,Chunlin Liu
949,Chunrong Ai
950,Chunyan Hao
951,Cindy K. Soo
952,Claire Friedland
953,Claire Lelarge
954,Claire S. H. Lim
955,Clara Vega
956,Clare Leaver
957,Clarice Pechman
958,Clark Nardinelli
959,Claude Diebolt
961,Claudia D. Goldin
963,Claudia M. Landeo
964,Claudia Olivetti
965,Claudia Ruiz
966,Claudio Ferraz
967,Claudio Lucarelli
968,Claudio Mezzetti
969,Claudio Michelacci
970,Claus Thustrup Kreiner
971,Clemens Puppe
972,Clemens Sialm
973,Cliff Walsh
974,Clifford M. Hurvich
975,"Clifford W. Smith, Jr."
976,Clifford Winston
977,Clive Bell
978,Clive Bull
979,Clyde G. Reed
980,Coen N. Teulings
983,Colin F. Camerer
984,Colin Lawrence
985,Colin M. Campbell
986,Colin Stewart
987,Colin W. Clark
988,Coralio Ballester
989,Coren L. Apicella
990,Cormac Ó Gráda
991,Corry Azzi
992,Cosmin L. Ilut
993,Costas Arkolakis
994,Costas Azariadis
996,Costis Skiadas
997,Cotton M. Lindsay
998,Courtney C. Coile
999,Craig Brett
1000,Craig Burnside
1001,Craig E. Landry
1002,Craig Garthwaite
1003,Craig McIntosh
1004,Craig O. Brown
1005,Craig R. Fox
1006,Cristian Pop-Eleches
1007,Cristina Arellano
1008,Curtis Carlson
1009,Curtis J. Simon
1010,Curtis R. Taylor
1013,Cynthia A. Montgomery
1014,Cynthia Bansak
1015,Cynthia Kinnan
1016,Cyril Monnet
1017,Cédric Ceulemans
1018,Cédric Tille
1020,D. Marc Kilgour
1021,D. Scott Lee
1022,D. T. Ulph
1024,Daan P. Van Soest
1027,Dahlia Remler
1028,Daigee Shaw
1029,Daiji Kawaguchi
1030,Daisuke Nakajima
1031,Dale Ballou
1032,"Dale O. Stahl, II"
1033,Dale T. Mortensen
1034,Dale W. Henderson
1035,Dale W. Jorgenson
1036,Dalia Marin
1037,Dallas Burtraw
1038,Dalton Conley
1039,Damien Sheehan-Connor
1040,Damon Clark
1041,Dan A. Black
1042,Dan Ariely
1043,Dan Ben-David
1044,Dan Bernhardt
1046,Dan Knoepfle
1047,Dan Kopf
1048,Dan Levin
1049,Dan M. Levy
1050,Dan Peled
1051,Dan Silverman
1052,Dan T. Rosenbaum
1053,Dan Usher
1054,Dan-Olof Rooth
1055,Dana Chandler
1057,Dana P. Goldman
1058,Dana W. Placzek
1059,Dani Rodrik
1060,Daniel A. Ackerberg
1061,Daniel A. Graham
1062,Daniel A. Sumner
1063,Daniel Aaronson
1065,Daniel Berger
1066,Daniel Bergstresser
1068,Daniel Chiquiar
1069,Daniel Cohen
1070,Daniel Diermeier
1071,Daniel F. Garrett
1072,Daniel F. Spulber
1073,Daniel F. Waggoner
1074,Daniel Friedman
1076,Daniel H. Karney
1077,Daniel H. Saks
1079,Daniel Hartley
1080,Daniel Hosken
1081,Daniel Houser
1083,Daniel John Zizzo
1084,Daniel J. Benjamin
1085,Daniel Kahneman
1086,Daniel Kaufmann
1088,Daniel L. Chen
1089,Daniel L. McFadden
1090,Daniel L. Rubinfeld
1091,Daniel L. Wisecarver
1092,Daniel Lederman
1093,Daniel Leigh
1094,Daniel Levy
1095,Daniel M. Bernhofen
1096,Daniel M. G. Raff
1097,Daniel M. Hungerman
1098,Daniel M. Sturm
1099,Daniel Martin
1100,Daniel Muller
1101,Daniel Münich
1102,Daniel Nagin
1103,Daniel P. Kessler
1104,Daniel P. O'Brien
1105,Daniel Parent
1106,Daniel Quint
1107,Daniel R. Siegel
1108,Daniel R. Vincent
1109,Daniel S. Hamermesh
1110,Daniel Shoag
1112,Daniel Stein
1114,Daniel T. Morrow
1115,Daniel T. Slesnick
1116,Daniel Trefler
1117,Daniel Tsiddon
1118,Daniel Valente Dantas
1119,Daniel Vine
1120,Daniel Wolfenzon
1121,Daniel Yi Xu
1122,Daniela Del Boca
1123,Daniela Glätzle-Rüetzler
1124,Daniela Puzzello
1125,Daniele Coen-Pirani
1126,Daniele Terlizzese
1127,Danielle F. Jung
1128,Danny Miller
1129,Danny Quah
1130,Danny Yagan
1131,Dario Focarelli
1132,Darius Lakdawalla
1133,Daron Acemoglu
1135,Darren Lubotsky
1137,David A. Butz
1138,David A. Green
1139,David A. Jaeger
1140,David A. Matsa
1141,David A. Miller
1142,David A. Peel
1143,David A. Starrett
1144,David A. Wise
1146,David Altig
1147,David Andolfatto
1148,David Atkin
1149,David Austen-Smith
1151,David B. Audretsch
1152,David B. Gordon
1153,David B. Gross
1154,David Berger
1155,David Besanko
1156,David Bowman
1157,David Bravo
1158,David Burras Humphrey
1159,David Butler
1160,David C. Parsley
1161,David C. Ribar
1162,David C. Webb
1164,David Cass
1165,David Cesarini
1166,David Clingingsmith
1167,David J. Cooper
1168,David Crainich
1169,David Dillenberger
1170,David Dollar
1171,David Donaldson
1172,David Dorn
1173,David Dranove
1174,David E. Bloom
1175,David E. Card
1176,David E. Fagnan
1177,David E. M. Sappington
1178,David E. Mills
1179,David E. Runkle
1180,David E. Weinstein
1181,David E. Wildasin
1182,David Easley
1183,David F. Burgess
1184,David F. Hendry
1185,David F. Weiman
1186,David Figlio
1188,David Friedman
1189,David G. Blanchflower
1190,David G. Rand
1191,David Gale
1192,David Genesove
1193,David Gill
1195,David H. Autor
1196,David H. Papell
1197,David H. Reiley
1198,David H. Romer
1199,David H. Small
1200,David Hemous
1201,David Hirshleifer
1202,David Huffman
1203,David Hughart
1205,David I. Laibson
1206,David I. Levine
1207,David J. Deming
1208,David J. Zimmerman
1210,David Joulfaian
1211,David K. Backus
1213,David K. Musto
1215,David Kropp
1216,David L. Crawford
1217,David L. Durbin
1218,David L. Hummels
1219,David Lagakos
1220,David Laibman
1222,David Laidler
1223,David Lam
1224,David Lando
1225,David Laster
1226,David Levhari
1228,David Lucca
1229,David Lucking-Reiley
1231,David M. Arseneau
1232,David M. Blau
1233,David M. Cutler
1234,David M. Frankel
1235,David M. G. Newbery
1237,David M. Kreps
1238,David M. Lilien
1239,David M. Modest
1241,David Marmaros
1242,David Martimort
1243,David Mayer-Foulkes
1244,David Mayers
1245,David McAdams
1246,David McKenzie
1247,David Myatt
1248,David N. DeJong
1249,David N. Laband
1250,David N. Margolis
1251,David N. Weil
1253,David Neumark
1255,David P. Baron
1257,David Pines
1258,David Popp
1259,David Porter
1260,David Pozen
1261,David Rahman
1262,David Rapson
1263,David Reitman
1264,David Renelt
1265,David Rojo Arjona
1268,David S. Ahn
1269,David S. Bizer
1270,David S. Brookshire
1271,David S. Bullock
1272,David S. Evans
1273,David S. Johnson
1274,David S. Kaplan
1275,David S. Lee
1276,David S. Lyle
1277,David S. Scharfstein
1279,David Scarborough
1281,David Schmeidler
1282,David Scoones
1283,David Sims
1284,David Soskice
1285,David Spector
1286,David Sraer
1287,David Strömberg
1289,David T. Robinson
1290,David Thesmar
1291,David W. Galenson
1292,David W. Wilcox
1295,David Wheeler
1296,David Whipple
1298,David Y. Albouy
1299,David Yanagizawa-Drott
1300,David Zervos
1301,David Zilberman
1303,David de la Croix
1304,Davide Cantoni
1305,Davin Chor
1306,Day Manoli
1307,Daylian M. Cain
1308,Dean C. Mountain
1309,Dean Corbae
1312,Dean Lueck
1313,Dean P. Foster
1314,Dean R. Hyslop
1315,Dean R. Lillard
1316,Dean S. Karlan
1317,Dean Taylor
1318,Dean Yang
1319,Debasis Mishra
1320,Deborah Haas-Wilson
1321,Deborah J. Lucas
1323,Deborah F. Minehart
1324,Debraj Ray
1325,Decio Coviello
1326,Delia Furtado
1327,Demetrio Simōes
1328,Demian Pouzo
1329,Denis Gromb
1330,Dennis A. Yao
1332,Dennis Epple
1333,Dennis F. Shea
1334,Dennis J. Snower
1335,Dennis D. Kimko
