NberID,WPDate,Title,Abstract,Note
w0104,1975-09-01,Education: Consumption or Production,"It can be claimed that education is simply a normal consumption good and that like all other normal goods, an increase in wealth will produce an increase in the amount of schooling purchased. Increased incomes are associated with higher schooling attainment as the simple result of an income effect. If this is so, schooling increases an individual's wealth only by the consumption value of the good, since it is a non-saleable asset. This paper will attempt to determine empirically the amount by which an increase in wealth is caused by schooling as distinguished from the amount by which the demand for schooling increases as the result of an increase in wealth.",
w0112,1975-11-01,A Beta-Logistic Model for the Analysis of Sequential Labor Force Participation by Married Women,"In this paper, we discuss statistical problems that arise in studying sequences of quantal responses (eg, labor force participation) in panel data on heterogeneous populations (ie, populations in which there is unobserved variation in response probabilities). Assuming that response probabilities are governed by a beta distribution, we derive a generalization of the cross-section logit model to enable it to deal with sequences of discrete events in panel data. This model is applied to panel data on labor force participation of married women. One of our findings is that the distribution of participation probabilities is U-shaped, indicating that most women have participation probabilities near zero or one.",
t0113,1991-10-01,"Workings of a City: Location, Education, and Production","We examine the implications of local externalities in human capital investment for the size and composition of the productive labor force. The model links residential choice, skills acquisition, and production in a city composed of several communities. Peer effects induce self-segregation by occupation, whereas efficiency may require identical communities. Even when some asymmetry is optimal, equilibrium segregation can cause entire ""ghettos"" to drop out of the labor force. Underemployment is more extensive the easier it is for high-skill workers to isolate themselves from others. When perfect segregation is feasible, individual incentives to pursue it are self-defeating, and lead instead to a shutdown of the productive sector.",
w0121,1976-01-01,Analysis of Longitudinal Earnings Data: American Scientists 1960--70,"The major findings of this study are as follows: (1) Simple cross section estimates grossly underestimate cohort profiles during the period 1960--70. Furthermore the growth in earnings is not uniform across experience groups and more recent vintages tend to have steeper profiles in most fields. Consequently the rate of return or present value comparisons based on cross sections are likely to be misleading even if the standard adjustment for growth is made. (2) For purposes of estimating mean profiles and mean effects of variables estimates based on pooled independent cross sections are quite close to those based on the more expensive longitudinal data. (3) There are important persistent unmeasured individual effects on both the level and growth of earnings. Consequently, individuals with the same observed characteristics will still have a wide variance in their permanent income.",
w0134,1979-04-01,The Demand for Pediatric Care: An Hedonic Approach,"The model that we develop is used to analyze properties of the demand functions for quantity and quality. It is then applied to study the demand for pediatric care---physicians' services rendered to children. The theoretical model of quantity---quality substitution provides a frame-work for demand analysis whenever the market for a good is distinguished by a quality component. The analysis is developed within the household production framework of consumer behavior and assumes that parents both demand and produce quality children, where children's health is one aspect of their quality. Thus, the demand curves for pediatric care are derived from the interaction between the demand and production functions of children's health. In the analysis, we emphasize the effects of income, the price of pediatric services, and the time costs of obtaining these services on the quantity (measured in terms of visits) and quality of services demanded.",
w0135,1976-04-01,"Taxation, Saving and the Rate of Interest","After exploring both the crucial role of the interest elasticity of the saving rate in the analysis of a wide variety of issues in economic---particularly tax---policy and reasons why previous studies of the effect of interest rates on consumption and saving have biased the estimated elasticity toward zero, this study presents new estimates of consumption functions based on aggregate US time series data. The results are striking: a variety of functional forms, estimation methods and definitions of the real after-tax rate of return invariably lead to the conclusion of a substantial interest elasticity of saving. The implications of this result for the analysis of the efficiency and equity of the current US tax treatment of income from capital are explored. In reducing the real net rate of return, current tax treatment significantly retards capital accumulation. This in turn causes an enormous waste of resources and redistributes a substantial fraction of gross income from labor to capital. Rough estimates of the lost welfare exceed fifty billion dollars per year (a present value of close to a trillion dollars) and of the redistribution from labor to capital exceed one quarter of capital's share of gross income. This suggests that exempting saving from the tax base (or equivalently, allowing instantaneous depreciation of capital expenditures) could substantially increase national income and welfare without transferring income from workers to owners of capital. It also suggests that the usual calculations of tax burdens by income class substantially overestimate both the progressivity of the income tax and the alleged regressivity of consumption taxes.",
w0137,1976-05-01,"Leisure, Home Production and Work---the Theory of the Allocation of Time Revisited","From the theoretical point of view, the justification for aggregating leisure and work at home into one entity, ""non-market time"" (or ""home time"") can rest on two assumptions: (a) the two elements react similarly to changes in the socio-economic environment and, hence, nothing is gained by studying them separately, and (b) the two elements satisfy the conditions of a composite input, ie, their relative price is constant, and there is no interest in investigating the composition of this aggregate since it has no bearing on production and the price of the output. This study sets out to show that none of these assumptions holds. Recent time budget findings have established that work at home is affected differently by changes in socioeconomic variables than is leisure, and this paper shows that the aggregation is also suspect from the analytical point of view.",
w0138,1976-05-01,"Experience, Vintage and Time Effects in the Growth of Earnings: American Scientists, 1960--1970","This paper is concerned with the growth of individual earnings over time. Four aspects of time are distinguished: experience, age, vintage and calendar year. The first section of the paper provides a brief outline of a theory of planned growth in earnings. The second and main section of the paper is devoted to an empirical attempt to estimate the role of experience, vintage and age on the growth in earnings and to separate these effects from exogenous changes in market conditions. We present a detailed specification of the earnings function which accounts for the inherent multi-collinearity between variables such as time, vintage and experience. One of our main objectives is to point out the implications of this identification problem for the analysis of earnings data. Though we cannot completely eliminate this difficulty, longitudinal data, which follows the same individuals over a period of time, allows us to identify more aspects of time than one could obtain from a single cross section. We provide a descriptive analysis of the exogenous changes in market conditions occurring during the period. No attempt is made to relate them to causal changes, such as past and expected future enrollment and government research grants. We find two basic tendencies: (1) Over the decade as a whole, scientists in academic institutions enjoyed better market conditions and thus a higher growth rate than those employed in private industry. (2) Toward the end of the decade, there is a marked reduction in the market's contribution to the growth rate. In some fields, such as physics, we note an actual reduction in the real earnings of new entrants. We conclude with a brief discussion of the changes in relative earnings over the decade by field and type of employer.",
w0150,1976-09-01,Dynamic Aspects of Earning Mobility,"This paper proposes an econometric methodology to deal with life cycle earnings and mobility among discrete earnings classes. First, we use panel data on male log earnings to estimate an earnings function with permanent and serially correlated transitory components due to both measured and unmeasured variables. Assuming that the error components are normally distributed, we develop statements for the probability that an individual's earnings will fall into a particular but arbitrary time sequence of poverty states. Using these statements, we illustrate the implications of our earnings model for poverty dynamics and compare our approach to Markov chain models of income mobility.",
w0153,1976-10-01,Economics of Marital Instability,"This paper focuses on the causes of divorce. Section I develops a theoretical analysis of marital dissolution incorporating uncertainty about the outcomes of marital decisions into a framework of utility maximization and the marriage market. Section II explores the implications of the theoretical analysis with cross-sectional data, primarily the 1967 Survey of Economic Opportunity and the Terman sample. The relevance of both the theoretical and empirical analyses in explaining the recent acceleration in the US divorce rate is discussed.",
w0172,1977-03-01,Sample Selection Bias as a Specification Error,"In this paper, I present a simple characterization of the sample selection bias problem that is also applicable to the conceptually distinct econometric problems that arise from truncated samples and from models with limited dependent variables. The problem of sample selection bias is fit within the conventional specification error framework of Griliches and Theil. A simple estimator is discussed that enables analysts to utilize ordinary regression methods to estimate models free of selection bias. The techniques discussed here are applied to re-estimate and test a model of female labor supply developed by the author (1974).",
w0177,1977-05-01,Dummy Endogenous Variables in a Simultaneous Equation System,This paper considers the formulation and estimation of simultaneous equation models with both discrete and continuous endogenous variables. The statistical model proposed here is sufficiently rich to encompass the classical simultaneous equation model for continuous endogenous variables and more recent models for purely discrete endogenous variables as special cases of a more general model.,
w0178,1980-04-01,"Investors' Portfolio Behavior under Alternative Models of Long-Term Interest Rate Expectations: Unitary, Rational, or Autoregressive","This paper develops behavioral relationships explaining investors' demands for long-term bonds, using three alternative hypotheses about investors' expectations of future bond prices (yields). The results, based on US data for six major categories of bond market investors, consistently support an autoregressive expectations model. The results also have implications for further aspects of investors' portfolio behavior, including expectations formation, response to inflation, and speed of adjustment.",
w0199,1977-08-01,Family Migration Decisions,"This paper joins a few very recent attempts to analyze migration in the awareness of the family context. In contrast to most of them, my focus is exclusively on the family context. The paper defines family ties relevant to migration decisions and explains their effects on the probability of migration, on consequent changes in employment and earnings of family members, as well as on family integrity itself. Hopefully, the paper provides material for a missing chapter on family economics as well as an addition to the economics of labor supply arid of human capital formation.",
w0201,1977-09-01,The Welfare Cost of Permanent Inflation and Optimal Short-Run Economic Policy,"At a minimum, this paper should serve as a warning against too easy an acceptance of the view that the costs of sustained inflation are small relative to the costs of unemployment. If a temporary reduction in unemployment causes a permanent increase in inflation, the present value of the resulting future welfare costs may well exceed the temporary short-run gain. Previous analyses have underestimated the cost of a permanent increase in the inflation rate because they have ignored the growth of the economy and therefore the growth of the future instantaneous welfare costs. In the important case in which the growth of aggregate income exceeds the social discount rate, no reduction in unemployment can justify any permanent increase in the rate of inflation. Quite the contrary, if the inflation rate is above its optimal level, the economy should then be deflated to reduce the inflation rate regardless of the temporary consequences for unemployment.",
w0208,1977-10-01,An Economic Theory of Self-Control,"Although many economists, most notably Strotz, have discussed dynamic inconsistency and precommitment, none have dealt directly with the essence of the problem: self-control. This paper attempts to fill that gap by modeling man as an organization. The Strotz model is recast to include the control features missing in his formulation. The organizational analogy permits us to draw on the theory of agency. We thus relate the individual's control problems with those that exist in agency relationships.",
t0222,1998-02-01,Maximum Likelihood Estimation of Discretely Sampled Diffusions: A Closed-Form Approach,"When a continuous-time diffusion is observed only at discrete dates, not necessarily close together, the likelihood function of the observations is in most cases not explicitly computable. Researchers have relied on simulations of sample paths in between the observations points, or numerical solutions of partial differential equations, to obtain estimates of the function to be maximized. By contrast, we construct a sequence of fully explicit functions which we show converge under very general conditions, including non-ergodicity, to the true (but unknown) likelihood function of the discretely-sampled diffusion. We document that the rate of convergence of the sequence is extremely fast for a number of examples relevant in finance. We then show that maximizing the sequence instead of the true function results in an estimator which converges to the true maximum-likelihood estimator and shares its asymptotic properties of consistency, asymptotic normality and efficiency. Applications to the valuation of derivative securities are also discussed.",
w0239,1980-05-01,The Effect of Shifting Wealth Ownership on the Term Structure of Interest Rates: The Case of Pensions,"Substantial shifts in wealth ownership from individuals to pension funds are currently taking place in the United States and also are in prospect for the foreseeable future. Moreover, pension funds typically exhibit portfolio preferences that are markedly different from those of individuals. In a world of heterogeneous investors, redistributions among wealth holders with different portfolio preferences will in general alter the structure of asset yields. Partial-equilibrium simulation experiments based on a model of the US long-term bond market indicate that redistributions of saving flows from individuals to pension funds, in plausible magnitudes, can have major effects on the term structure of interest rates.",
w0241,1980-11-01,"Personal Taxation, Portfolio Choice, and the Effect of the Corporation Income Tax","Extending the traditional treatment of the corporate tax to an economy with a progressive personal tax fundamentally changes the analysis. While the corporate tax system (CTS) does increase the total tax rate on corporate source income for some investors, the exclusion of retained earnings implies that the CTS lowers the tax rate for high-income investors. Analyzing such an economy requires replacing the traditional ""equal-yield"" equilibrium condition with a more general portfolio balance model. In this model, introducing a CTS can actually increase the corporate share of the capital stock even though the relative tax rate on corporate income rises.",
w0242,1980-11-01,"The Exit-Voice Tradeoff in the Labor Market: Unionism, Job Tenure, Quits, and Separations","This paper examines the effect of trade unionism on the exit behavior of workers in the context of Hirschman's exit-voice dichotomy. Unionism is expected to reduce quits and permanent separations and raise job tenure by providing a ""voice"" alternative to exit when workers are dissatisfied with conditions. Empirical evidence supports this contention, showing significantly lower exit for unionists in several large data tapes. It is argued that the grievance system plays a major role in the reduction in exit and that the reduction lowers cost and raises productivity.",
w0243,1980-05-01,Taxation and Corporate Financial Policy,"A model of corporate financial policy (debt-equity ratios and dividend payout rates) is included in the Harberger general equilibrium model of incidence of the corporate income tax. Illustrative calculations of the distortions of financial policy and increases in risk premiums induced by the corporate tax are provided. Because risk premiums on corporate securities would be reduced, eliminating the corporate tax or integrating it into the personal tax would increase the income of non-corporate investors relatively more than that of investors in corporate securities, and is therefore less regressive than is commonly thought.",
w0249,1978-06-01,Education and Self-Selection,"A structural model of the demand for college attendance is derived from the theory of comparative advantage and recent statistical models of self-selection and unobserved components. Estimates from NBER-Thorndike data strongly support the theory. First, expected lifetime earnings gains influence the decision to attend college. Second, those who did not attend college would have earned less than measurably similar people who did attend, while those who attended college would have earned less as high school graduates than measurably similar people who stopped after high school. Positive selection in both groups implies no ""ability bias in these data.",
w0250,1981-03-01,The Effects of Taxation on the Selling of Corporate Stock and the Realization of Capital Gains,"This study provides the first econometric analysis of the effect of taxation on the realization of capital gains. The analysis thus extends and complements the earlier study by Feldstein and Yitzhaki (1978) of the effect of taxation on the selling of corporate stock. The present analysis, using a large, new body of data obtained from individual tax returns, supports the earlier finding that corporate stock sales are quite sensitive to tax rates and then shows that the effect on the realization of capital gains is even stronger.",
w0253,1978-07-01,Inflation and the Choice of Asset Life,"Given the current corporate tax structure in the US, inflation may have an important impact on the production decisions of firms, notably the choice of capital durability. This paper presents a model of competitive behavior in which firms may choose the durability of their capital goods. We find that in the presence of inflation, the taxation of corporate profits may influence both the choice of asset life and the market value of equity. In particular, the failure to index depreciation allowances depresses share values and biases the choice of asset life toward greater durability. Integrating this analysis with the traditional one-sector monetary growth model, we study the general equilibrium impact of inflation on such long run characteristics of the economy as output per capita and the real rate of return received by investors.",
t0276,2002-04-01,The Effects of Random and Discrete Sampling When Estimating Continuous-Time Diffusions,"High-frequency financial data are not only discretely sampled in time but the time separating successive observations is often random. We analyze the consequences of this dual feature of the data when estimating a continuous-time model. In particular, we measure the additional effects of the randomness of the sampling intervals over and beyond those due to the discreteness of the data. We also examine the effect of simply ignoring the sampling randomness. We find that in many situations the randomness of the sampling has a larger impact than the discreteness of the data.",
w0278,1980-12-01,"Experience, Performance, and Earnings","This study provides direct evidence concerning the relationship between experience and performance among managerial and professional employees doing similar work in two major US corporations. The facts presented indicate that while, within grade levels, there is a strong positive association between experience and relative earnings, there is either no association or a negative association between experience and relative rated performance. If we are correct that the performance ratings given to managerial and professional employees in any grade level adequately reflect those employees' relative productivity in the year of assessment, the results imply that the human capital on-the-job training model cannot explain a substantial part of the observed return to labor market experience.",
t0280,2002-09-01,Identification and Inference in Nonlinear Difference-in-Differences Models,"This paper develops an alternative approach to the widely used Difference-In-Difference (DID) method for evaluating the effects of policy changes. In contrast to the standard approach, we introduce a nonlinear model that permits changes over time in the effect of unobservables (eg, there may be a time trend in the level of wages as well as the returns to skill in the labor market). Further, our assumptions are independent of the scaling of the outcome. Our approach provides an estimate of the entire counterfactual distribution of outcomes that would have been experienced by the treatment group in the absence of the treatment, and likewise for the untreated group in the presence of the treatment. Thus, it enables the evaluation of policy interventions according to criteria such as a mean-variance tradeoff. We provide conditions under which the model is nonparametrically identified and propose an estimator. We consider extensions to allow for covariates and discrete dependent variables. We also analyze inference, showing that our estimator is root-N consistent and asymptotically normal. Finally, we consider an application.",
t0283,2002-10-01,Simple and Bias-Corrected Matching Estimators for Average Treatment Effects,"Matching estimators for average treatment effects are widely used in evaluation research despite the fact that their large sample properties have not been established in many cases. In this article, we develop a new framework to analyze the properties of matching estimators and establish a number of new results. First, we show that matching estimators include a conditional bias term which may not vanish at a rate faster than root-N when more than one continuous variable is used for matching. As a result, matching estimators may not be root-N-consistent. Second, we show that even after removing the conditional bias, matching estimators with a fixed number of matches do not reach the semiparametric efficiency bound for average treatment effects, although the efficiency loss may be small. Third, we propose a bias-correction that removes the conditional bias asymptotically, making matching estimators root-N-consistent. Fourth, we provide a new estimator for the conditional variance that does not require consistent nonparametric estimation of unknown functions. We apply the bias-corrected matching estimators to the study of the effects of a labor market program previously analyzed by Lalonde (1986). We also carry out a small simulation study based on Lalonde's example where a simple implementation of the bias-corrected matching estimator performs well compared to both simple matching estimators and to regression estimators in terms of bias and root-mean-squared-error. Software for implementing the proposed estimators in STATA and Matlab is available from the authors on the web.",
w0288,1978-10-01,On Transactions and Precautionary Demand for Money,"This paper develops a stochastic framework for the analysis of transactions and precautionary demand for money. The analysis is based on the principles of inventory managements and the key feature of the model is its stochastic characteristics which lead to the need for precautionary reserves. The formal solution for optimal money holdings is derived and is shown to depend on the rate of interest, the mean rate of net disbursements, the cost of portfolio adjustment and the variance of the stochastic process governing net disbursements. One solution is obtained by minimizing the present value of financial management. This solution is compared with an alternative that is derived from the more conventional methodology of minimizing the steady-state cost function. The comparison shows that the two approaches may yield solutions that differ significantly from each other. The paper concludes with an application of the model to an empirical examination of countries' holdings of international reserves. The empirical results are shown to be consistent with the predictions of the model.",
t0301,2004-10-01,Identification and Estimation of Discrete Games of Complete Information,"We discuss the identification and estimation of discrete games of complete information. Following Bresnahan and Reiss (1990, 1991), a discrete game is a generalization of a standard discrete choice model where utility depends on the actions of other players. Using recent algorithms to compute all of the Nash equilibria to a game, we propose simulation-based estimators for static, discrete games. With appropriate exclusion restrictions about how covariates enter into payoffs and influence equilibrium selection, the model is identified with only weak parametric assumptions. Monte Carlo evidence demonstrates that the estimator can perform well in moderately-sized samples. As an application, we study the strategic decision of firms in spatially-separated markets to establish a presence on the Internet.",
w0319,1979-02-01,Applied Welfare Economics with Discrete Choice Models,"Economists have been paying increasing attention to the study of situations in which consumers face a discrete rather than a continuous set of choices. Such models are potentially very important in evaluating the impact of government programs upon consumer welfare. But very little has been said in general regarding the tools of applied welfare economics indiscrete choice situations. This paper shows how the conventional methods of applied welfare economics can be modified to handle such cases. It focuses on the computation of the excess burden of taxation, and the evaluation of quality change. The results are applied to stochastic utility models, including the popular cases of probit and logit analysis. Throughout, the emphasis is on providing rigorous guidelines for carrying out applied work.",
t0323,2006-06-01,Heteroskedasticity-Robust Standard Errors for Fixed Effects Panel Data Regression,"The conventional heteroskedasticity-robust (HR) variance matrix estimator for cross-sectional regression (with or without a degrees of freedom adjustment), applied to the fixed effects estimator for panel data with serially uncorrelated errors, is inconsistent if the number of time periods T is fixed (and greater than two) as the number of entities n increases. We provide a bias-adjusted HR estimator that is (nT)^½-consistent under any sequences (n, T) in which n and/or T increase to ∞.",
t0325,2006-06-01,On the Failure of the Bootstrap for Matching Estimators,"Matching estimators are widely used for the evaluation of programs or treatments. Often researchers use bootstrapping methods for inference. However, no formal justification for the use of the bootstrap has been provided. Here we show that the bootstrap is in general not valid, even in the simple case with a single continuous covariate when the estimator is root-N consistent and asymptotically normally distributed with zero asymptotic bias. Due to the extreme non-smoothness of nearest neighbor matching, the standard conditions for the bootstrap are not satisfied, leading the bootstrap variance to diverge from the actual variance. Simulations confirm the difference between actual and nominal coverage rates for bootstrap confidence intervals predicted by the theoretical calculations. To our knowledge, this is the first example of a root-N consistent and asymptotically normal estimator for which the bootstrap fails to work.",
w0326,1979-03-01,A Capital Market in an Equilibrium Business Cycle Model,"Previous equilibrium ""business cycle"" models are extended by the incorporation of an economy-wide capital market. One aspect of this ex-tension is that the relative price that appears in commodity supply and demand functions becomes an anticipated real rate of return on earning assets, rather than a ratio of actual to expected prices. From the stand-point of expectation formation, the key aspect of the extended model is that observation of the economy-wide nominal interest rate conveys current global information to individuals. With respect to the effect of money supply shocks on output, the model yields results that are similar to those generated in simpler models. Anew result concerns the behavior of the anticipated real rate of return on earning assets. Because this variable is the pertinent relative price for commodity supply and demand decisions, it turns out to be unambiguous that positive money surprises raise the anticipated real rate of return. In fact, this response provides the essential channel in this equilibrium model by which a money shock can raise the supply of commodities and thereby increase output. However, it is possible through a sort of ""liquidity"" effect that positive money surprises can depress the economy-wide nominal interest rate.",
w0330,1979-03-01,Unionization and Productivity: Microeconometric Evidence,"It is widely agreed that unionization affects the rules and procedures governing the employment relation in organized establishments. The effect of these changes on establishment productivity, however, is unclear. Existing evidence is based on a comparison of union-non-union differences in value added per hour worked. Although positive union effects have been estimated, possible differences in prices and technology in the union and non-union sectors render the results inconclusive. The effect of unions on productivity is examined in the present paper using establishment level data from the US cement industry. The cement industry provides a useful empirical framework. Output is easily measured in physical terms, and data on both union and non-union establishments permit estimation of the union effect controlling for differences in technology. The results suggest that unionized establishments are 6--8 percent more productive than their non-union counterparts. This conclusion is supported in time series data, where a comparison of productivity before and after unionization reveals a positive union effect of similar magnitude. Since the statistical analysis controls for capital-labor substitution, scale effects and technological change, the evidence suggests that unionization leads to productive changes in the operation of the enterprise. The results are relatively robust. Specification changes and adjustments for omitted variables leave the basic findings intact.",
w0335,1979-04-01,Feedback and the Use of Current Information: The Use of General Linear Policy Rules in Rational Expectations Models,"The behavior of several stochastic dynamic rational expectations models is studied when policy behavior can be described by a linear rule. Four policy components are distinguished: a current response component, a feedback component, an open-loop component and a stochastic component. Policy is evaluated in terms of the current and asymptotic first and second moments of the state variables. The importance of distinguishing between variability and uncertainty is brought out. The conditional variance is argued to be the appropriate measure of uncertainty. The analysis is applied to a model of foreign exchange market intervention.",
w0343,1979-05-01,Coherency Conditions In Simultaneous Linear Equation Models With Endogenous Switching Regimes,"In modeling disequilibrium macroeconomic systems which one would want to subject to econometric estimation one typically faces the problem of whether the structural model can determine a unique equilibrium. The problem inherits a special form because the regimes in which the equilibria can lie are each linear. By placing restrictions on the parameters that insure the uniqueness of such a solution for each value of the exogenous and random variables, we can improve the estimation procedure. This paper provides necessary and sufficient conditions for uniqueness---or ""coherency"". These conditions are applied to a variety of models that have been prominent in the literature on econometrics with ""switching regimes"" such as those of self-selectivity (Maddala), simultaneous equation tobit and probit (Amemiya, Schmidt) and multi-market macroeconomic disequilibrium (Gourieroux, Laffont and Nonfort).",
w0352,1979-05-01,Time Preference and International Lending and Borrowing in an Overlapping-Generations Model,"Two economies, represented by Diamond-type overlapping-generations models and differing only in their pure rates of time preference, are joined together. Capital formation, balance-of-payments behavior, and welfare are compared under autarky and openness. With a positive natural rate of growth, the low-time-preference country runs a current account surplus in the steady state but not necessarily outside it. If preexisting capital is not shiftable between countries, integration in the world economy makes the high-time-preference country worse off in the short run. The ranking of stationary utility levels under autarky and openness is ambiguous.",
w0356,1979-06-01,International Trade and Income Distribution: A Reconsideration,"The postwar expansion of trade among the industrial countries has not had the strong distributional effects which standard models of trade would have led us to expect. This paper develops a model which attempts to explain this observation, while at the same time making sense of some other puzzling empirical aspects of world trade. The basis of the model is a distinction between two kinds of trade: ""Heckscher-Ohlin"" trade, based on differences in factor proportions, and ""intraindustry"" trade, based on scale economies and product differentiation. To incorporate intraindustry trade into the model it is necessary to drop the usual assumptions of constant returns to scale and perfect competition; instead the paper deals with a world where economies of scale are pervasive and all firms possess some monopoly power. Surprisingly, it is nonetheless possible to develop a fully-worked-out general equilibrium model which remains simple and can be used to compare autarky and free trade. Two main results emerge from the analysis. First, the nature of trade depends on how similar countries are in their factor endowments. As countries become more similar, the trade between them will increasingly become intra-industry in character. Second, the effects of opening trade depend on its type. If intraindustry trade is sufficiently dominant the advantages of extending the market will outweigh the distributional effects, and the owners of scarce as well as of abundant factors will be made better off.",
